S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,CorrAns3,CorrAns4,CorrAns5,CorrAns6,CorrAns7,CorrAns8,CorrAns9,CorrAns10,CorrAns11,CorrAns12,CorrAns13,CorrAns14,CorrAns15,CorrAns16,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,Seq4_tr.started,recall_resp,key_resp_4.keys,key_resp_4.corr,key_resp_4.rt,Seq4_tr.stopped,text_go.started,key_resp_5.started,DS,key_resp2_2.keys,key_resp2_2.corr,key_resp2_2.rt,score,Forward WM score,B_DS,key_resp2_2B.keys,key_resp2_2B.corr,key_resp2_2B.rt,Backward WM score,participant,session,date,expName,psychopyVersion,frameRate,
8,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,"['8', '1', '6']",None,None,None,None,None,None,None,None,None,None,None,None,None,,,,,0,0,0,0,,,,,40.25581279100152,816,"['1', '2', '3', '4']",0,"[0.9163403749989811, 1.1336620419970131, 1.4010804170029587, 1.6478895830005058, 2.398018416999548]",41.25564316599775,44.1722123330037,44.1722123330037,3,"['8', '1', '6']",0,"[2.7944441660001758, 3.054013875000237, 3.876608500002476, 4.129626207999536]",1,,,,,,,SAmano2,001,2022-11-16_20h41.46.319,DS_Adapt1L,2022.2.4,59.850195080396254,
4,7,2,9,0,0,0,0,0,0,0,0,0,0,0,0,"['4', '7', '2']","['4', '7', '2', '9']",None,None,None,None,None,None,None,None,None,None,None,None,,,,,0,1,1,1,,,,,,4729,,,,,,,4,"['4', '7', '2', '9']",0,"[1.1286259159969632, 1.7202694579973468, 1.9990472079953179, 2.2241692079987843, 2.681522582999605]",1,,,,,,,SAmano2,001,2022-11-16_20h41.46.319,DS_Adapt1L,2022.2.4,59.850195080396254,
6,9,1,7,2,0,0,0,0,0,0,0,0,0,0,0,"['6', '9', '1']","['6', '9', '1', '7']","['6', '9', '1', '7', '2']",None,None,None,None,None,None,None,None,None,None,None,,,,,0,2,2,2,,,,,,16972,,,,,,,5,"['1', '6', '9', '7', '2']",0,"[2.600925416998507, 2.7652322499998263, 3.1826965419968474, 3.7629087919995072, 3.882106749995728, 4.2764901670016116]",0,,,,,,,SAmano2,001,2022-11-16_20h41.46.319,DS_Adapt1L,2022.2.4,59.850195080396254,
7,9,4,1,8,2,0,0,0,0,0,0,0,0,0,0,"['7', '9', '4']","['7', '9', '4', '1']","['7', '9', '4', '1', '8']","['7', '9', '4', '1', '8', '2']",None,None,None,None,None,None,None,None,None,None,,,,,0,3,3,3,,,,,,79498,,,,,,,5,"['7', '9', '4', '9', '8']",0,"[0.9989908749994356, 1.4049864999979036, 2.532821790999151, 3.7963277499948163, 3.9325156659979257, 4.408687874994939]",0,,,,,,,SAmano2,001,2022-11-16_20h41.46.319,DS_Adapt1L,2022.2.4,59.850195080396254,
5,2,8,4,7,3,9,0,0,0,0,0,0,0,0,0,"['5', '2', '8']","['5', '2', '8', '4']","['5', '2', '8', '4', '7']","['5', '2', '8', '4', '7', '3']","['5', '2', '8', '4', '7', '3', '9']",None,None,None,None,None,None,None,None,None,,,,,0,4,4,4,,,,,,5284,,,,,,,4,"['5', '2', '8', '4']",0,"[1.6992747920012334, 2.0770695419996628, 2.8541176250000717, 3.083746541997243, 3.415596375001769]",1,,,,,,,SAmano2,001,2022-11-16_20h41.46.319,DS_Adapt1L,2022.2.4,59.850195080396254,
2,5,1,7,4,9,3,8,0,0,0,0,0,0,0,0,"['2', '5', '1']","['2', '5', '1', '7']","['2', '5', '1', '7', '4']","['2', '5', '1', '7', '4', '9']","['2', '5', '1', '7', '4', '9', '3']","['2', '5', '1', '7', '4', '9', '3', '8']",None,None,None,None,None,None,None,None,,,,,0,5,5,5,,,,,,251274,,,,,,,5,"['2', '5', '1', '2', '7', '4']",0,"[1.0980819999967935, 1.408521582998219, 1.781063082999026, 2.2043911659930018, 2.7605661249981495, 2.869562040999881, 4.495485124993138]",0,,,,,,,SAmano2,001,2022-11-16_20h41.46.319,DS_Adapt1L,2022.2.4,59.850195080396254,
6,2,5,8,3,9,4,1,7,0,0,0,0,0,0,0,"['6', '2', '5']","['6', '2', '5', '8']","['6', '2', '5', '8', '3']","['6', '2', '5', '8', '3', '9']","['6', '2', '5', '8', '3', '9', '4']","['6', '2', '5', '8', '3', '9', '4', '1']","['6', '2', '5', '8', '3', '9', '4', '1', '7']",None,None,None,None,None,None,None,,,,,0,6,6,6,,,,,,62583,,,,,,,5,"['6', '2', '5', '8', '3']",0,"[1.424743874995329, 1.8691310419962974, 2.5027080419968115, 3.286745624995092, 3.407478833993082, 3.7483744169949205]",1,,,,,,,SAmano2,001,2022-11-16_20h41.46.319,DS_Adapt1L,2022.2.4,59.850195080396254,
1,7,3,8,4,9,5,2,6,9,0,0,0,0,0,0,"['1', '7', '3']","['1', '7', '3', '8']","['1', '7', '3', '8', '4']","['1', '7', '3', '8', '4', '9']","['1', '7', '3', '8', '4', '9', '5']","['1', '7', '3', '8', '4', '9', '5', '2']","['1', '7', '3', '8', '4', '9', '5', '2', '6']","['1', '7', '3', '8', '4', '9', '5', '2', '6', '9']",None,None,None,None,None,None,,,,,0,7,7,7,,,,,,174238,,,,,,,6,"['1', '7', '4', '2', '3', '8']",0,"[1.5417832499952056, 1.831118249996507, 8.315069207994384, 10.80485241599672, 11.427631582999311, 11.502354082993406, 12.098843957995996]",0,,,,,,,SAmano2,001,2022-11-16_20h41.46.319,DS_Adapt1L,2022.2.4,59.850195080396254,
4,9,6,2,5,8,1,7,3,7,4,0,0,0,0,0,"['4', '9', '6']","['4', '9', '6', '2']","['4', '9', '6', '2', '5']","['4', '9', '6', '2', '5', '8']","['4', '9', '6', '2', '5', '8', '1']","['4', '9', '6', '2', '5', '8', '1', '7']","['4', '9', '6', '2', '5', '8', '1', '7', '3']","['4', '9', '6', '2', '5', '8', '1', '7', '3', '7']","['4', '9', '6', '2', '5', '8', '1', '7', '3', '7', '4']",None,None,None,None,None,,,,,0,8,8,8,,,,,,49758,,,,,,,6,"['4', '9', '7', '5', '8']",0,"[2.8030773749997024, 3.1836730409995653, 3.810882500001753, 11.204507249996823, 11.26335874999495, 12.107559625001159]",0,,,,,,,SAmano2,001,2022-11-16_20h41.46.319,DS_Adapt1L,2022.2.4,59.850195080396254,
8,4,1,7,3,6,2,5,9,1,6,3,0,0,0,0,"['8', '4', '1']","['8', '4', '1', '7']","['8', '4', '1', '7', '3']","['8', '4', '1', '7', '3', '6']","['8', '4', '1', '7', '3', '6', '2']","['8', '4', '1', '7', '3', '6', '2', '5']","['8', '4', '1', '7', '3', '6', '2', '5', '9']","['8', '4', '1', '7', '3', '6', '2', '5', '9', '1']","['8', '4', '1', '7', '3', '6', '2', '5', '9', '1', '6']","['8', '4', '1', '7', '3', '6', '2', '5', '9', '1', '6', '3']",None,None,None,None,,,,,0,9,9,9,,,,,,841732,,,,,,,5,"['8', '4', '1', '7', '3', '2']",0,"[2.5862791249965085, 2.9320301249972545, 3.477347207997809, 3.951796082998044, 4.445456415996887, 6.737807124998653, 6.826177625000128]",0,,,,,,,SAmano2,001,2022-11-16_20h41.46.319,DS_Adapt1L,2022.2.4,59.850195080396254,
