S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,CorrAns3,CorrAns4,CorrAns5,CorrAns6,CorrAns7,CorrAns8,CorrAns9,CorrAns10,CorrAns11,CorrAns12,CorrAns13,CorrAns14,CorrAns15,CorrAns16,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,Seq4_tr.started,recall_resp,key_resp_4.keys,key_resp_4.corr,key_resp_4.rt,text_go.started,key_resp_5.started,DS,key_resp2_2.keys,key_resp2_2.corr,key_resp2_2.rt,score,Forward WM score,B_DS,key_resp2_2B.keys,key_resp2_2B.corr,key_resp2_2B.rt,Backward WM score,participant,session,date,expName,psychopyVersion,frameRate,
8,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,"['8', '1', '6']",None,None,None,None,None,None,None,None,None,None,None,None,None,,,,,0,0,0,0,,,,,41.23913095899479,816,"['1', '2', '3']",0,"[0.8179444999987027, 1.0211957080027787, 1.2988950419967296, 1.8672229169969796]",43.63834858399787,43.63834858399787,3,"['8', '1', '6']",0,"[1.9286912919997121, 2.0510049590011477, 2.2792817919980735, 2.910108666997985]",1,,,,,,,LARI2.1,001,2022-11-16_14h45.11.049,DS_Adapt1L,2022.2.4,59.79514172376467,
4,7,2,9,0,0,0,0,0,0,0,0,0,0,0,0,"['4', '7', '2']","['4', '7', '2', '9']",None,None,None,None,None,None,None,None,None,None,None,None,,,,,0,1,1,1,,,,,,4729,,,,,,4,"['4', '7', '2', '9']",0,"[0.9216729999970994, 1.32136745799653, 1.7177922920018318, 2.4248281249965657, 3.027934167002968]",1,,,,,,,LARI2.1,001,2022-11-16_14h45.11.049,DS_Adapt1L,2022.2.4,59.79514172376467,
6,9,1,7,2,0,0,0,0,0,0,0,0,0,0,0,"['6', '9', '1']","['6', '9', '1', '7']","['6', '9', '1', '7', '2']",None,None,None,None,None,None,None,None,None,None,None,,,,,0,2,2,2,,,,,,69172,,,,,,5,"['6', '9', '1', '7', '2']",0,"[2.5663382500060834, 2.8507470410040696, 3.1731515410065185, 3.5905752910039155, 3.935893458001374, 4.271097458004078]",1,,,,,,,LARI2.1,001,2022-11-16_14h45.11.049,DS_Adapt1L,2022.2.4,59.79514172376467,
7,9,4,1,8,2,0,0,0,0,0,0,0,0,0,0,"['7', '9', '4']","['7', '9', '4', '1']","['7', '9', '4', '1', '8']","['7', '9', '4', '1', '8', '2']",None,None,None,None,None,None,None,None,None,None,,,,,0,3,3,3,,,,,,794182,,,,,,6,"['7', '9', '4', '1', '8', '2']",0,"[1.565547999998671, 1.9916632910026237, 2.398311040997214, 2.6886896249998244, 3.1504419159973622, 3.4326201250005397, 3.7434583329959423]",1,,,,,,,LARI2.1,001,2022-11-16_14h45.11.049,DS_Adapt1L,2022.2.4,59.79514172376467,
5,2,8,4,7,3,9,0,0,0,0,0,0,0,0,0,"['5', '2', '8']","['5', '2', '8', '4']","['5', '2', '8', '4', '7']","['5', '2', '8', '4', '7', '3']","['5', '2', '8', '4', '7', '3', '9']",None,None,None,None,None,None,None,None,None,,,,,0,4,4,4,,,,,,5882742,,,,,,7,"['5', '8', '8', '2', '7', '4', '2']",0,"[4.04600158300309, 5.46824262500013, 7.100009375004447, 7.316952375003893, 9.232134249999945, 9.433394166000653, 10.24939175000327, 10.537848291001865]",0,,,,,,,LARI2.1,001,2022-11-16_14h45.11.049,DS_Adapt1L,2022.2.4,59.79514172376467,
2,5,1,7,4,9,3,8,0,0,0,0,0,0,0,0,"['2', '5', '1']","['2', '5', '1', '7']","['2', '5', '1', '7', '4']","['2', '5', '1', '7', '4', '9']","['2', '5', '1', '7', '4', '9', '3']","['2', '5', '1', '7', '4', '9', '3', '8']",None,None,None,None,None,None,None,None,,,,,0,5,5,5,,,,,,2517493,,,,,,7,"['2', '5', '1', '7', '4', '9', '3']",0,"[1.8526446250034496, 2.37888391600427, 2.915026291004324, 3.4908380000051693, 4.366821666008036, 4.682040250001592, 5.065376875005313, 5.4097340410080506]",1,,,,,,,LARI2.1,001,2022-11-16_14h45.11.049,DS_Adapt1L,2022.2.4,59.79514172376467,
6,2,5,8,3,9,4,1,7,0,0,0,0,0,0,0,"['6', '2', '5']","['6', '2', '5', '8']","['6', '2', '5', '8', '3']","['6', '2', '5', '8', '3', '9']","['6', '2', '5', '8', '3', '9', '4']","['6', '2', '5', '8', '3', '9', '4', '1']","['6', '2', '5', '8', '3', '9', '4', '1', '7']",None,None,None,None,None,None,None,,,,,0,6,6,6,,,,,,62584931,,,,,,8,"['6', '2', '5', '8', '4', '9', '3', '1']",0,"[2.3006119999990915, 2.5815961250045802, 3.2387747500033583, 4.0177692500001285, 7.25477312500152, 8.845716708005057, 9.453935333003756, 9.605617833003635, 10.166204416003893]",0,,,,,,,LARI2.1,001,2022-11-16_14h45.11.049,DS_Adapt1L,2022.2.4,59.79514172376467,
1,7,3,8,4,9,5,2,6,9,0,0,0,0,0,0,"['1', '7', '3']","['1', '7', '3', '8']","['1', '7', '3', '8', '4']","['1', '7', '3', '8', '4', '9']","['1', '7', '3', '8', '4', '9', '5']","['1', '7', '3', '8', '4', '9', '5', '2']","['1', '7', '3', '8', '4', '9', '5', '2', '6']","['1', '7', '3', '8', '4', '9', '5', '2', '6', '9']",None,None,None,None,None,None,,,,,0,7,7,7,,,,,,1749782,,,,,,8,"['1', '7', '4', '9', '7', '8', '2']",0,"[1.0341055000026245, 1.741420416001347, 2.226294833002612, 2.6580665830042562, 6.949083583000174, 7.799236958002439, 8.05956558300386, 8.373100666001847]",0,,,,,,,LARI2.1,001,2022-11-16_14h45.11.049,DS_Adapt1L,2022.2.4,59.79514172376467,
4,9,6,2,5,8,1,7,3,7,4,0,0,0,0,0,"['4', '9', '6']","['4', '9', '6', '2']","['4', '9', '6', '2', '5']","['4', '9', '6', '2', '5', '8']","['4', '9', '6', '2', '5', '8', '1']","['4', '9', '6', '2', '5', '8', '1', '7']","['4', '9', '6', '2', '5', '8', '1', '7', '3']","['4', '9', '6', '2', '5', '8', '1', '7', '3', '7']","['4', '9', '6', '2', '5', '8', '1', '7', '3', '7', '4']",None,None,None,None,None,,,,,0,8,8,8,,,,,,4957827,,,,,,7,"['4', '9', '5', '7', '8', '2', '7']",0,"[1.0212433750057244, 1.745763500002795, 2.781864291006059, 3.0494415830034995, 3.5151904160011327, 3.776970833001542, 5.452570333007316, 5.7792634580036975]",0,,,,,,,LARI2.1,001,2022-11-16_14h45.11.049,DS_Adapt1L,2022.2.4,59.79514172376467,
8,4,1,7,3,6,2,5,9,1,6,3,0,0,0,0,"['8', '4', '1']","['8', '4', '1', '7']","['8', '4', '1', '7', '3']","['8', '4', '1', '7', '3', '6']","['8', '4', '1', '7', '3', '6', '2']","['8', '4', '1', '7', '3', '6', '2', '5']","['8', '4', '1', '7', '3', '6', '2', '5', '9']","['8', '4', '1', '7', '3', '6', '2', '5', '9', '1']","['8', '4', '1', '7', '3', '6', '2', '5', '9', '1', '6']","['8', '4', '1', '7', '3', '6', '2', '5', '9', '1', '6', '3']",None,None,None,None,,,,,0,9,9,9,,,,,,7437528,,,,,,7,"['7', '4', '3', '7', '5', '2', '8']",0,"[1.6745520840049721, 1.9264675840022392, 3.7424700420015142, 4.308965374999389, 4.8389624589981395, 5.1208755420011585, 5.968464750003477, 6.560437291998824]",0,,,,,,,LARI2.1,001,2022-11-16_14h45.11.049,DS_Adapt1L,2022.2.4,59.79514172376467,
