word,colour,congruent,corrAns,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instruText.started,key_resp_2.started,target.started,response.started,response.keys,response.corr,response.rt,text.started,session,participant,date,expName,psychopyVersion,frameRate,
azul,blue,0.0,f,0,0,0,7,17.355639749999682,17.355639749999682,29.05008058399835,29.05008058399835,f,1,2.2862357910053106,,001,Lari2,2022-11-16_14h38.22.633,StroopTask,2022.2.4,60.09276821074064,
XXXX,blue,2.0,f,0,1,1,15,,,31.867003166997165,31.867003166997165,f,1,0.7158134159981273,,001,Lari2,2022-11-16_14h38.22.633,StroopTask,2022.2.4,60.09276821074064,
amarillo,red,0.0,a,0,2,2,6,,,33.10066854199977,33.10066854199977,a,1,0.8479222080059117,,001,Lari2,2022-11-16_14h38.22.633,StroopTask,2022.2.4,60.09276821074064,
rojo,green,0.0,s,0,3,3,4,,,34.466954916999384,34.466954916999384,s,1,0.7052584160046536,,001,Lari2,2022-11-16_14h38.22.633,StroopTask,2022.2.4,60.09276821074064,
rojo,red,1.0,a,0,4,4,0,,,35.70096858400211,35.70096858400211,f,0,0.6110471670035622,,001,Lari2,2022-11-16_14h38.22.633,StroopTask,2022.2.4,60.09276821074064,
XXXXXX,green,2.0,s,0,5,5,21,,,36.833939042000566,36.833939042000566,s,1,0.9934560000037891,,001,Lari2,2022-11-16_14h38.22.633,StroopTask,2022.2.4,60.09276821074064,
verde,green,1.0,s,0,6,6,1,,,38.35056108400022,38.35056108400022,s,1,0.6159970829976373,,001,Lari2,2022-11-16_14h38.22.633,StroopTask,2022.2.4,60.09276821074064,
XXXXX,blue,2.0,f,0,7,7,19,,,39.48386391699751,39.48386391699751,f,1,0.8124994170066202,,001,Lari2,2022-11-16_14h38.22.633,StroopTask,2022.2.4,60.09276821074064,
XXXXX,green,2.0,s,0,8,8,17,,,40.81708591699862,40.81708591699862,s,1,0.6951192090054974,,001,Lari2,2022-11-16_14h38.22.633,StroopTask,2022.2.4,60.09276821074064,
XXXX,green,2.0,s,0,9,9,13,,,42.0342018750016,42.0342018750016,s,1,0.4849274170046556,,001,Lari2,2022-11-16_14h38.22.633,StroopTask,2022.2.4,60.09276821074064,
verde,yellow,0.0,d,0,10,10,5,,,43.05097554199892,43.05097554199892,d,1,0.878713209007401,,001,Lari2,2022-11-16_14h38.22.633,StroopTask,2022.2.4,60.09276821074064,
azul,blue,1.0,f,0,11,11,3,,,44.450796917000844,44.450796917000844,f,1,0.7278659580042586,,001,Lari2,2022-11-16_14h38.22.633,StroopTask,2022.2.4,60.09276821074064,
