stimulus_prac1,corrAns_prac1,stimulus_test1,corrAns_test1,stimulus_test2,corrAns_test2,prac_trials.thisRepN,prac_trials.thisTrialN,prac_trials.thisN,prac_trials.thisIndex,test1trial.thisRepN,test1trial.thisTrialN,test1trial.thisN,test1trial.thisIndex,test2trial.thisRepN,test2trial.thisTrialN,test2trial.thisN,test2trial.thisIndex,image_welcome.started,resp_Welcome.started,resp_Welcome.keys,resp_Welcome.rt,resp_Instr_Intro.started,image_Instr_Intro.started,resp_Instr_Intro.keys,resp_Instr_Intro.rt,resp_Instr_Prac1.started,image_Instr_Prac1.started,resp_Instr_Prac1.keys,resp_Instr_Prac1.rt,text_trial_Prac1.started,resp_trial_Prac1.started,text_trial_Prac1.stopped,resp_trial_Prac1.keys,resp_trial_Prac1.corr,resp_trial_Prac1.rt,text_Feedback_Prac1.started,resp_Instr_Test1.started,image_Instr_Test1.started,resp_Instr_Test1.keys,resp_Instr_Test1.rt,text_trial_Test1.started,resp_trial_Test1.started,text_trial_Test1.stopped,resp_trial_Test1.keys,resp_trial_Test1.corr,resp_trial_Test1.rt,resp_Instr_Test2.started,image_Instr_Test2.started,resp_Instr_Test2.keys,resp_Instr_Test2.rt,text_trial_Test2.started,key_resp.started,text_trial_Test2.stopped,key_resp.keys,key_resp.corr,key_resp.rt,resp_theEnd.started,image_theEnd.started,resp_theEnd.keys,resp_theEnd.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,23.937728099990636,23.937728099990636,space,19.85834070004057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Anapaolaarcos2,001,2022-11-03_15h55.43.001,Trial go no go,2022.2.4,60.0287297451941,
,,,,,,,,,,,,,,,,,,,,,,43.81461920007132,44.315074300044216,space,29.52369629999157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Anapaolaarcos2,001,2022-11-03_15h55.43.001,Trial go no go,2022.2.4,60.0287297451941,
,,,,,,,,,,,,,,,,,,,,,,,,,,73.35901860008016,73.84340310003608,space,14.76619330001995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Anapaolaarcos2,001,2022-11-03_15h55.43.001,Trial go no go,2022.2.4,60.0287297451941,
X,space,,,,,0,0,0,3,,,,,,,,,,,,,,,,,,,,,88.20170760003384,88.20170760003384,88.80621559999418,space,1,0.6529506000224501,90.17486320005264,,,,,,,,,,,,,,,,,,,,,,,,,Anapaolaarcos2,001,2022-11-03_15h55.43.001,Trial go no go,2022.2.4,60.0287297451941,
K,none,,,,,0,1,1,14,,,,,,,,,,,,,,,,,,,,,90.87194430001546,90.87194430001546,91.47198060003575,None,1,,92.87200900004245,,,,,,,,,,,,,,,,,,,,,,,,,Anapaolaarcos2,001,2022-11-03_15h55.43.001,Trial go no go,2022.2.4,60.0287297451941,
X,space,,,,,0,2,2,11,,,,,,,,,,,,,,,,,,,,,93.57466929999646,93.57466929999646,94.18883830006234,space,1,0.5664465998997912,95.57186390005518,,,,,,,,,,,,,,,,,,,,,,,,,Anapaolaarcos2,001,2022-11-03_15h55.43.001,Trial go no go,2022.2.4,60.0287297451941,
X,space,,,,,0,3,3,12,,,,,,,,,,,,,,,,,,,,,96.27171650005039,96.27171650005039,96.87137609999627,space,1,0.46798109996598214,98.27143930003513,,,,,,,,,,,,,,,,,,,,,,,,,Anapaolaarcos2,001,2022-11-03_15h55.43.001,Trial go no go,2022.2.4,60.0287297451941,
W,none,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,98.9877757000504,98.9877757000504,99.58783930004574,None,1,,100.97087760001887,,,,,,,,,,,,,,,,,,,,,,,,,Anapaolaarcos2,001,2022-11-03_15h55.43.001,Trial go no go,2022.2.4,60.0287297451941,
V,none,,,,,0,5,5,9,,,,,,,,,,,,,,,,,,,,,101.68207870004699,101.68207870004699,102.28709550003987,None,1,,103.66963460005354,,,,,,,,,,,,,,,,,,,,,,,,,Anapaolaarcos2,001,2022-11-03_15h55.43.001,Trial go no go,2022.2.4,60.0287297451941,
X,space,,,,,0,6,6,13,,,,,,,,,,,,,,,,,,,,,104.36971470003482,104.36971470003482,104.969277300057,space,1,0.4354917999589816,106.36913810006808,,,,,,,,,,,,,,,,,,,,,,,,,Anapaolaarcos2,001,2022-11-03_15h55.43.001,Trial go no go,2022.2.4,60.0287297451941,
