stimulus_prac1,corrAns_prac1,stimulus_test1,corrAns_test1,stimulus_test2,corrAns_test2,prac_trials.thisRepN,prac_trials.thisTrialN,prac_trials.thisN,prac_trials.thisIndex,test1trial.thisRepN,test1trial.thisTrialN,test1trial.thisN,test1trial.thisIndex,test2trial.thisRepN,test2trial.thisTrialN,test2trial.thisN,test2trial.thisIndex,image_welcome.started,resp_Welcome.started,resp_Welcome.keys,resp_Welcome.rt,resp_Instr_Intro.started,image_Instr_Intro.started,resp_Instr_Intro.keys,resp_Instr_Intro.rt,resp_Instr_Prac1.started,image_Instr_Prac1.started,resp_Instr_Prac1.keys,resp_Instr_Prac1.rt,text_trial_Prac1.started,resp_trial_Prac1.started,text_trial_Prac1.stopped,resp_trial_Prac1.keys,resp_trial_Prac1.corr,resp_trial_Prac1.rt,text_Feedback_Prac1.started,resp_Instr_Test1.started,image_Instr_Test1.started,resp_Instr_Test1.keys,resp_Instr_Test1.rt,text_trial_Test1.started,resp_trial_Test1.started,text_trial_Test1.stopped,resp_trial_Test1.keys,resp_trial_Test1.corr,resp_trial_Test1.rt,resp_Instr_Test2.started,image_Instr_Test2.started,resp_Instr_Test2.keys,resp_Instr_Test2.rt,text_trial_Test2.started,key_resp.started,text_trial_Test2.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.stopped,resp_theEnd.started,image_theEnd.started,resp_theEnd.keys,resp_theEnd.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,17.731940708001275,17.731940708001275,space,8.721688540999821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,karlaMoreno2,001,2022-11-03_15h52.41.489,Trial go no go,2022.2.4,60.40165591146299,
,,,,,,,,,,,,,,,,,,,,,,26.4835999170009,26.981568832999983,space,12.46121120799944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,karlaMoreno2,001,2022-11-03_15h52.41.489,Trial go no go,2022.2.4,60.40165591146299,
,,,,,,,,,,,,,,,,,,,,,,,,,,38.96538891700038,39.46448925000004,space,11.190129000000525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,karlaMoreno2,001,2022-11-03_15h52.41.489,Trial go no go,2022.2.4,60.40165591146299,
X,space,,,,,0,0,0,8,,,,,,,,,,,,,,,,,,,,,50.23174962499979,50.23174962499979,50.832026416999724,space,1,0.8014554579985997,52.20063183300044,,,,,,,,,,,,,,,,,,,,,,,,,,karlaMoreno2,001,2022-11-03_15h52.41.489,Trial go no go,2022.2.4,60.40165591146299,
X,space,,,,,0,1,1,11,,,,,,,,,,,,,,,,,,,,,52.89914158300053,52.89914158300053,53.49945395800023,space,1,0.5928897489993687,54.899046833001194,,,,,,,,,,,,,,,,,,,,,,,,,,karlaMoreno2,001,2022-11-03_15h52.41.489,Trial go no go,2022.2.4,60.40165591146299,
K,none,,,,,0,2,2,14,,,,,,,,,,,,,,,,,,,,,55.598567458000616,55.598567458000616,56.19898662500054,None,1,,57.59881541700088,,,,,,,,,,,,,,,,,,,,,,,,,,karlaMoreno2,001,2022-11-03_15h52.41.489,Trial go no go,2022.2.4,60.40165591146299,
X,space,,,,,0,3,3,12,,,,,,,,,,,,,,,,,,,,,58.29889474999982,58.29889474999982,58.89894570800061,space,1,0.5264739169997483,60.298557333000645,,,,,,,,,,,,,,,,,,,,,,,,,,karlaMoreno2,001,2022-11-03_15h52.41.489,Trial go no go,2022.2.4,60.40165591146299,
X,space,,,,,0,4,4,1,,,,,,,,,,,,,,,,,,,,,60.998897583000144,60.998897583000144,61.5988575829997,space,1,0.5027370000007068,62.99874079199981,,,,,,,,,,,,,,,,,,,,,,,,,,karlaMoreno2,001,2022-11-03_15h52.41.489,Trial go no go,2022.2.4,60.40165591146299,
X,space,,,,,0,5,5,2,,,,,,,,,,,,,,,,,,,,,63.69878575000075,63.69878575000075,64.29872958300075,space,1,0.5103277489997708,65.69903691699983,,,,,,,,,,,,,,,,,,,,,,,,,,karlaMoreno2,001,2022-11-03_15h52.41.489,Trial go no go,2022.2.4,60.40165591146299,
X,space,,,,,0,6,6,3,,,,,,,,,,,,,,,,,,,,,66.39913250000063,66.39913250000063,66.99878383299983,space,1,0.4162888330010901,68.39890374999959,,,,,,,,,,,,,,,,,,,,,,,,,,karlaMoreno2,001,2022-11-03_15h52.41.489,Trial go no go,2022.2.4,60.40165591146299,
