S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,CorrAns3,CorrAns4,CorrAns5,CorrAns6,CorrAns7,CorrAns8,CorrAns9,CorrAns10,CorrAns11,CorrAns12,CorrAns13,CorrAns14,CorrAns15,CorrAns16,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,Seq4_tr.started,recall_resp,key_resp_4.keys,key_resp_4.corr,key_resp_4.rt,text_go.started,key_resp_5.started,DS,key_resp2_2.keys,key_resp2_2.corr,key_resp2_2.rt,score,Forward WM score,B_DS,key_resp2_2B.keys,key_resp2_2B.corr,key_resp2_2B.rt,Backward WM score,participant,session,date,expName,psychopyVersion,frameRate,
8,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,"['8', '1', '6']",None,None,None,None,None,None,None,None,None,None,None,None,None,,,,,0,0,0,0,,,,,57.45351041599861,816,"['1', '2', '3']",0,"[1.1007363340031588, 1.4202765010013536, 1.7370504179998534, 2.2400941260020772]",60.220471499997075,60.220471499997075,3,"['8', '1', '6']",0,"[2.9315802500022983, 3.1590891250016284, 3.3325376249995315, 5.231369666998944]",1,,,,,,,Dulce2,001,2022-11-05_14h06.44.952,DS_Adapt1L,2022.2.4,60.12612946794062,
4,7,2,9,0,0,0,0,0,0,0,0,0,0,0,0,"['4', '7', '2']","['4', '7', '2', '9']",None,None,None,None,None,None,None,None,None,None,None,None,,,,,0,1,1,1,,,,,,4729,,,,,,4,"['4', '7', '2', '9']",0,"[0.9762979590013856, 1.5310004170023603, 1.9993979170030798, 2.3200042090029456, 3.004482251002628]",1,,,,,,,Dulce2,001,2022-11-05_14h06.44.952,DS_Adapt1L,2022.2.4,60.12612946794062,
6,9,1,7,2,0,0,0,0,0,0,0,0,0,0,0,"['6', '9', '1']","['6', '9', '1', '7']","['6', '9', '1', '7', '2']",None,None,None,None,None,None,None,None,None,None,None,,,,,0,2,2,2,,,,,,96172,,,,,,5,"['9', '6', '1', '7', '2']",0,"[1.7570996670001477, 4.165273251001054, 5.076406833999499, 5.229453709001973, 5.381612208999286, 7.401938209000946]",0,,,,,,,Dulce2,001,2022-11-05_14h06.44.952,DS_Adapt1L,2022.2.4,60.12612946794062,
7,9,4,1,8,2,0,0,0,0,0,0,0,0,0,0,"['7', '9', '4']","['7', '9', '4', '1']","['7', '9', '4', '1', '8']","['7', '9', '4', '1', '8', '2']",None,None,None,None,None,None,None,None,None,None,,,,,0,3,3,3,,,,,,79418,,,,,,5,"['7', '9', '4', '1', '8']",0,"[1.5872508340034983, 1.8929039590038883, 2.6400114170028246, 3.0393608340018545, 3.2525151260015264, 4.017945084004168]",1,,,,,,,Dulce2,001,2022-11-05_14h06.44.952,DS_Adapt1L,2022.2.4,60.12612946794062,
5,2,8,4,7,3,9,0,0,0,0,0,0,0,0,0,"['5', '2', '8']","['5', '2', '8', '4']","['5', '2', '8', '4', '7']","['5', '2', '8', '4', '7', '3']","['5', '2', '8', '4', '7', '3', '9']",None,None,None,None,None,None,None,None,None,,,,,0,4,4,4,,,,,,528473,,,,,,6,"['5', '2', '8', '4', '7', '3']",0,"[1.3122784170009254, 1.6936126260006859, 2.0318950840010075, 14.86854854199919, 40.305003459001455, 40.84965662600007, 43.39960641699872]",1,,,,,,,Dulce2,001,2022-11-05_14h06.44.952,DS_Adapt1L,2022.2.4,60.12612946794062,
2,5,1,7,4,9,3,8,0,0,0,0,0,0,0,0,"['2', '5', '1']","['2', '5', '1', '7']","['2', '5', '1', '7', '4']","['2', '5', '1', '7', '4', '9']","['2', '5', '1', '7', '4', '9', '3']","['2', '5', '1', '7', '4', '9', '3', '8']",None,None,None,None,None,None,None,None,,,,,0,5,5,5,,,,,,2519493,,,,,,7,"['2', '5', '1', '9', '4', '9', '3']",0,"[2.9234953339982894, 3.048830708998139, 3.224764292001055, 3.9651496250007767, 4.840024791999895, 5.3726289170008386, 5.827983250001125, 9.862708791999466]",0,,,,,,,Dulce2,001,2022-11-05_14h06.44.952,DS_Adapt1L,2022.2.4,60.12612946794062,
6,2,5,8,3,9,4,1,7,0,0,0,0,0,0,0,"['6', '2', '5']","['6', '2', '5', '8']","['6', '2', '5', '8', '3']","['6', '2', '5', '8', '3', '9']","['6', '2', '5', '8', '3', '9', '4']","['6', '2', '5', '8', '3', '9', '4', '1']","['6', '2', '5', '8', '3', '9', '4', '1', '7']",None,None,None,None,None,None,None,,,,,0,6,6,6,,,,,,6258943,,,,,,7,"['6', '2', '5', '8', '9', '4', '3']",0,"[3.7509609590015316, 4.532068167001853, 5.281081251003343, 9.14873637600249, 9.794330584001727, 10.46823095900254, 11.187958792001155, 23.19696100100191]",0,,,,,,,Dulce2,001,2022-11-05_14h06.44.952,DS_Adapt1L,2022.2.4,60.12612946794062,
1,7,3,8,4,9,5,2,6,9,0,0,0,0,0,0,"['1', '7', '3']","['1', '7', '3', '8']","['1', '7', '3', '8', '4']","['1', '7', '3', '8', '4', '9']","['1', '7', '3', '8', '4', '9', '5']","['1', '7', '3', '8', '4', '9', '5', '2']","['1', '7', '3', '8', '4', '9', '5', '2', '6']","['1', '7', '3', '8', '4', '9', '5', '2', '6', '9']",None,None,None,None,None,None,,,,,0,7,7,7,,,,,,173849,,,,,,6,"['1', '7', '3', '8', '4', '9']",0,"[1.9425600840040715, 2.3725097510032356, 3.0030983760007075, 6.484365834003256, 6.7291634590037575, 6.890253042001859, 7.926271251002618]",1,,,,,,,Dulce2,001,2022-11-05_14h06.44.952,DS_Adapt1L,2022.2.4,60.12612946794062,
4,9,6,2,5,8,1,7,3,7,4,0,0,0,0,0,"['4', '9', '6']","['4', '9', '6', '2']","['4', '9', '6', '2', '5']","['4', '9', '6', '2', '5', '8']","['4', '9', '6', '2', '5', '8', '1']","['4', '9', '6', '2', '5', '8', '1', '7']","['4', '9', '6', '2', '5', '8', '1', '7', '3']","['4', '9', '6', '2', '5', '8', '1', '7', '3', '7']","['4', '9', '6', '2', '5', '8', '1', '7', '3', '7', '4']",None,None,None,None,None,,,,,0,8,8,8,,,,,,4955489,,,,,,7,"['4', '9', '5', '5', '4', '8', '9']",0,"[1.994763751001301, 2.884518709000986, 3.972912291999819, 13.652872083999682, 16.271526042000914, 17.54804754200086, 17.732813583999814, 19.53482633400199]",0,,,,,,,Dulce2,001,2022-11-05_14h06.44.952,DS_Adapt1L,2022.2.4,60.12612946794062,
8,4,1,7,3,6,2,5,9,1,6,3,0,0,0,0,"['8', '4', '1']","['8', '4', '1', '7']","['8', '4', '1', '7', '3']","['8', '4', '1', '7', '3', '6']","['8', '4', '1', '7', '3', '6', '2']","['8', '4', '1', '7', '3', '6', '2', '5']","['8', '4', '1', '7', '3', '6', '2', '5', '9']","['8', '4', '1', '7', '3', '6', '2', '5', '9', '1']","['8', '4', '1', '7', '3', '6', '2', '5', '9', '1', '6']","['8', '4', '1', '7', '3', '6', '2', '5', '9', '1', '6', '3']",None,None,None,None,,,,,0,9,9,9,,,,,,6418491,,,,,,7,"['6', '4', '1', '8', '4', '9', '1']",0,"[16.81550045900076, 17.298369791998994, 17.749681249999412, 46.973333750000165, 47.133466458999465, 47.37466562500049, 47.87188554200111, 51.14641954200124]",0,,,,,,,Dulce2,001,2022-11-05_14h06.44.952,DS_Adapt1L,2022.2.4,60.12612946794062,
