S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,CorrAns3,CorrAns4,CorrAns5,CorrAns6,CorrAns7,CorrAns8,CorrAns9,CorrAns10,CorrAns11,CorrAns12,CorrAns13,CorrAns14,CorrAns15,CorrAns16,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,Seq4_tr.started,recall_resp,key_resp_4.keys,key_resp_4.corr,key_resp_4.rt,Seq4_tr.stopped,text_go.started,key_resp_5.started,DS,key_resp2_2.keys,key_resp2_2.corr,key_resp2_2.rt,score,Forward WM score,B_DS,key_resp2_2B.keys,key_resp2_2B.corr,key_resp2_2B.rt,Backward WM score,participant,session,date,expName,psychopyVersion,frameRate,
8,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,"['8', '1', '6']",None,None,None,None,None,None,None,None,None,None,None,None,None,,,,,0,0,0,0,,,,,25.56084433400065,816,"['1', '2', '3', '4']",0,"[0.8386033740007406, 1.034953916001541, 1.2400957070003642, 1.433996082001613, 1.89974866600096]",26.56055058400125,28.960673584000688,28.960673584000688,3,"['8', '1', '6']",0,"[0.9656607069991878, 1.2880076239998743, 1.3927327490000607, 1.8493170410001767]",1,,,,,,,monica2.2,001,2022-11-03_17h09.04.481,DS_Adapt1L,2022.2.4,59.94443175159317,
4,7,2,9,0,0,0,0,0,0,0,0,0,0,0,0,"['4', '7', '2']","['4', '7', '2', '9']",None,None,None,None,None,None,None,None,None,None,None,None,,,,,0,1,1,1,,,,,,4729,,,,,,,4,"['4', '7', '2', '9']",0,"[0.5427253750003729, 1.025328540999908, 1.2168314160007867, 1.3364790830000857, 1.6828209579998656]",1,,,,,,,monica2.2,001,2022-11-03_17h09.04.481,DS_Adapt1L,2022.2.4,59.94443175159317,
6,9,1,7,2,0,0,0,0,0,0,0,0,0,0,0,"['6', '9', '1']","['6', '9', '1', '7']","['6', '9', '1', '7', '2']",None,None,None,None,None,None,None,None,None,None,None,,,,,0,2,2,2,,,,,,69182,,,,,,,5,"['6', '9', '1', '8', '2']",0,"[0.4679421660002845, 0.7837266660008027, 1.3661808739998378, 1.9896408740005427, 2.536592374000975, 3.275480874001005]",0,,,,,,,monica2.2,001,2022-11-03_17h09.04.481,DS_Adapt1L,2022.2.4,59.94443175159317,
7,9,4,1,8,2,0,0,0,0,0,0,0,0,0,0,"['7', '9', '4']","['7', '9', '4', '1']","['7', '9', '4', '1', '8']","['7', '9', '4', '1', '8', '2']",None,None,None,None,None,None,None,None,None,None,,,,,0,3,3,3,,,,,,79418,,,,,,,5,"['7', '9', '4', '1', '8']",0,"[0.4546065410013398, 1.210870666000119, 1.895512332999715, 2.052614915999584, 2.302569374000086, 2.6255099160007376]",1,,,,,,,monica2.2,001,2022-11-03_17h09.04.481,DS_Adapt1L,2022.2.4,59.94443175159317,
5,2,8,4,7,3,9,0,0,0,0,0,0,0,0,0,"['5', '2', '8']","['5', '2', '8', '4']","['5', '2', '8', '4', '7']","['5', '2', '8', '4', '7', '3']","['5', '2', '8', '4', '7', '3', '9']",None,None,None,None,None,None,None,None,None,,,,,0,4,4,4,,,,,,528473,,,,,,,6,"['5', '2', '8', '4', '7', '3']",0,"[0.45462420800140535, 2.079408499999772, 2.822382666001431, 3.2391057500008174, 3.6573850410004525, 4.006550750000315, 4.567380791000687]",1,,,,,,,monica2.2,001,2022-11-03_17h09.04.481,DS_Adapt1L,2022.2.4,59.94443175159317,
2,5,1,7,4,9,3,8,0,0,0,0,0,0,0,0,"['2', '5', '1']","['2', '5', '1', '7']","['2', '5', '1', '7', '4']","['2', '5', '1', '7', '4', '9']","['2', '5', '1', '7', '4', '9', '3']","['2', '5', '1', '7', '4', '9', '3', '8']",None,None,None,None,None,None,None,None,,,,,0,5,5,5,,,,,,2517493,,,,,,,7,"['2', '5', '1', '7', '4', '9', '3']",0,"[1.3993511659991782, 2.4121266239999386, 2.8493844569984503, 3.5053219989986246, 3.901754456999697, 4.413630081999145, 4.820793331999084, 5.524615248999908]",1,,,,,,,monica2.2,001,2022-11-03_17h09.04.481,DS_Adapt1L,2022.2.4,59.94443175159317,
6,2,5,8,3,9,4,1,7,0,0,0,0,0,0,0,"['6', '2', '5']","['6', '2', '5', '8']","['6', '2', '5', '8', '3']","['6', '2', '5', '8', '3', '9']","['6', '2', '5', '8', '3', '9', '4']","['6', '2', '5', '8', '3', '9', '4', '1']","['6', '2', '5', '8', '3', '9', '4', '1', '7']",None,None,None,None,None,None,None,,,,,0,6,6,6,,,,,,6358941,,,,,,,8,"['6', '3', '5', '8', '9', '4', '1']",0,"[1.1126866239992523, 1.9683831660004216, 2.31336254100097, 3.0975551240007917, 3.327005499000734, 3.882605541000885, 4.198853498999597, 4.920688541000345]",0,,,,,,,monica2.2,001,2022-11-03_17h09.04.481,DS_Adapt1L,2022.2.4,59.94443175159317,
1,7,3,8,4,9,5,2,6,9,0,0,0,0,0,0,"['1', '7', '3']","['1', '7', '3', '8']","['1', '7', '3', '8', '4']","['1', '7', '3', '8', '4', '9']","['1', '7', '3', '8', '4', '9', '5']","['1', '7', '3', '8', '4', '9', '5', '2']","['1', '7', '3', '8', '4', '9', '5', '2', '6']","['1', '7', '3', '8', '4', '9', '5', '2', '6', '9']",None,None,None,None,None,None,,,,,0,7,7,7,,,,,,1794532,,,,,,,8,"['1', '7', '9', '4', '5', '3', '2']",0,"[1.3328397500008577, 2.1123354580013256, 2.363122500000827, 2.9482502080009, 3.786501500000668, 4.242180916000507, 4.526771541000926, 5.119351000001188]",0,,,,,,,monica2.2,001,2022-11-03_17h09.04.481,DS_Adapt1L,2022.2.4,59.94443175159317,
4,9,6,2,5,8,1,7,3,7,4,0,0,0,0,0,"['4', '9', '6']","['4', '9', '6', '2']","['4', '9', '6', '2', '5']","['4', '9', '6', '2', '5', '8']","['4', '9', '6', '2', '5', '8', '1']","['4', '9', '6', '2', '5', '8', '1', '7']","['4', '9', '6', '2', '5', '8', '1', '7', '3']","['4', '9', '6', '2', '5', '8', '1', '7', '3', '7']","['4', '9', '6', '2', '5', '8', '1', '7', '3', '7', '4']",None,None,None,None,None,,,,,0,8,8,8,,,,,,4962581,,,,,,,7,"['4', '9', '6', '2', '5', '8', '1']",0,"[1.6649864579994755, 2.325393332999738, 3.0277314159993693, 3.4864379159989767, 4.166929916000299, 4.966992749999918, 5.609285708000243, 6.765773249999256]",1,,,,,,,monica2.2,001,2022-11-03_17h09.04.481,DS_Adapt1L,2022.2.4,59.94443175159317,
8,4,1,7,3,6,2,5,9,1,6,3,0,0,0,0,"['8', '4', '1']","['8', '4', '1', '7']","['8', '4', '1', '7', '3']","['8', '4', '1', '7', '3', '6']","['8', '4', '1', '7', '3', '6', '2']","['8', '4', '1', '7', '3', '6', '2', '5']","['8', '4', '1', '7', '3', '6', '2', '5', '9']","['8', '4', '1', '7', '3', '6', '2', '5', '9', '1']","['8', '4', '1', '7', '3', '6', '2', '5', '9', '1', '6']","['8', '4', '1', '7', '3', '6', '2', '5', '9', '1', '6', '3']",None,None,None,None,,,,,0,9,9,9,,,,,,84187325,,,,,,,8,"['8', '4', '1', '8', '7', '3', '2', '5']",0,"[2.308191498999804, 2.7132585819999804, 3.1360304159989028, 3.654217831999631, 4.89808495699981, 5.615668999000263, 5.882959415999721, 6.4486284159993374, 6.958457581999028]",0,,,,,,,monica2.2,001,2022-11-03_17h09.04.481,DS_Adapt1L,2022.2.4,59.94443175159317,
