stimulus_prac1,corrAns_prac1,stimulus_test1,corrAns_test1,stimulus_test2,corrAns_test2,prac_trials.thisRepN,prac_trials.thisTrialN,prac_trials.thisN,prac_trials.thisIndex,test1trial.thisRepN,test1trial.thisTrialN,test1trial.thisN,test1trial.thisIndex,test2trial.thisRepN,test2trial.thisTrialN,test2trial.thisN,test2trial.thisIndex,image_welcome.started,resp_Welcome.started,resp_Welcome.keys,resp_Welcome.rt,resp_Instr_Intro.started,image_Instr_Intro.started,resp_Instr_Intro.keys,resp_Instr_Intro.rt,resp_Instr_Prac1.started,image_Instr_Prac1.started,resp_Instr_Prac1.keys,resp_Instr_Prac1.rt,text_trial_Prac1.started,resp_trial_Prac1.started,text_trial_Prac1.stopped,resp_trial_Prac1.keys,resp_trial_Prac1.corr,text_Feedback_Prac1.started,resp_trial_Prac1.rt,resp_Instr_Test1.started,image_Instr_Test1.started,resp_Instr_Test1.keys,resp_Instr_Test1.rt,text_trial_Test1.started,resp_trial_Test1.started,text_trial_Test1.stopped,resp_trial_Test1.keys,resp_trial_Test1.corr,resp_trial_Test1.rt,resp_Instr_Test2.started,image_Instr_Test2.started,resp_Instr_Test2.keys,resp_Instr_Test2.rt,text_trial_Test2.started,key_resp.started,text_trial_Test2.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.stopped,resp_theEnd.started,image_theEnd.started,resp_theEnd.keys,resp_theEnd.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,10.553460041999642,10.553460041999642,space,102.57621345799635,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dulce2,001,2022-11-05_13h58.28.996,Trial go no go,2022.2.4,60.07366521189869,
,,,,,,,,,,,,,,,,,,,,,,113.16046066700073,113.66409700000077,space,31.720315458995174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dulce2,001,2022-11-05_13h58.28.996,Trial go no go,2022.2.4,60.07366521189869,
,,,,,,,,,,,,,,,,,,,,,,,,,,144.90573970900004,145.39847891700265,space,2.4948260839955765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dulce2,001,2022-11-05_13h58.28.996,Trial go no go,2022.2.4,60.07366521189869,
V,none,,,,,0,0,0,9,,,,,,,,,,,,,,,,,,,,,147.4909450840023,147.4909450840023,148.09808604200225,None,1,149.44895770900257,,,,,,,,,,,,,,,,,,,,,,,,,,,Dulce2,001,2022-11-05_13h58.28.996,Trial go no go,2022.2.4,60.07366521189869,
X,space,,,,,0,1,1,6,,,,,,,,,,,,,,,,,,,,,150.14819383400027,150.14819383400027,150.74848000000202,space,1,152.14847200000077,0.5089095419971272,,,,,,,,,,,,,,,,,,,,,,,,,,Dulce2,001,2022-11-05_13h58.28.996,Trial go no go,2022.2.4,60.07366521189869,
X,space,,,,,0,2,2,12,,,,,,,,,,,,,,,,,,,,,152.84889216699958,152.84889216699958,153.4493472920003,space,1,154.84863958400092,0.5818224169997848,,,,,,,,,,,,,,,,,,,,,,,,,,Dulce2,001,2022-11-05_13h58.28.996,Trial go no go,2022.2.4,60.07366521189869,
X,space,,,,,0,3,3,5,,,,,,,,,,,,,,,,,,,,,155.54843879200052,155.54843879200052,156.14885962500193,space,1,157.54855366700212,0.46252858299703803,,,,,,,,,,,,,,,,,,,,,,,,,,Dulce2,001,2022-11-05_13h58.28.996,Trial go no go,2022.2.4,60.07366521189869,
X,space,,,,,0,4,4,7,,,,,,,,,,,,,,,,,,,,,158.24828337500003,158.24828337500003,158.84879758399984,space,1,160.24891404200025,0.6424425419972977,,,,,,,,,,,,,,,,,,,,,,,,,,Dulce2,001,2022-11-05_13h58.28.996,Trial go no go,2022.2.4,60.07366521189869,
X,space,,,,,0,5,5,8,,,,,,,,,,,,,,,,,,,,,160.94857083399984,160.94857083399984,161.54913916700025,space,1,162.9488210840027,0.4958273749980435,,,,,,,,,,,,,,,,,,,,,,,,,,Dulce2,001,2022-11-05_13h58.28.996,Trial go no go,2022.2.4,60.07366521189869,
X,space,,,,,0,6,6,10,,,,,,,,,,,,,,,,,,,,,163.64888062500177,163.64888062500177,164.24854791700272,space,1,165.64883825000288,0.40028829099901486,,,,,,,,,,,,,,,,,,,,,,,,,,Dulce2,001,2022-11-05_13h58.28.996,Trial go no go,2022.2.4,60.07366521189869,
X,space,,,,,0,7,7,2,,,,,,,,,,,,,,,,,,,,,166.3491549169994,166.3491549169994,166.94872095900064,space,1,168.34861487500166,0.3961777499971504,,,,,,,,,,,,,,,,,,,,,,,,,,Dulce2,001,2022-11-05_13h58.28.996,Trial go no go,2022.2.4,60.07366521189869,
X,space,,,,,0,8,8,1,,,,,,,,,,,,,,,,,,,,,169.0492386670012,169.0492386670012,169.64918166700227,space,1,171.04915429200264,0.47536762500021723,,,,,,,,,,,,,,,,,,,,,,,,,,Dulce2,001,2022-11-05_13h58.28.996,Trial go no go,2022.2.4,60.07366521189869,
X,space,,,,,0,9,9,0,,,,,,,,,,,,,,,,,,,,,171.7489605840019,171.7489605840019,172.3496374589995,space,1,173.74897679200149,0.4933890829961456,,,,,,,,,,,,,,,,,,,,,,,,,,Dulce2,001,2022-11-05_13h58.28.996,Trial go no go,2022.2.4,60.07366521189869,
X,space,,,,,0,10,10,13,,,,,,,,,,,,,,,,,,,,,174.44931116700172,174.44931116700172,175.04888487500284,space,1,176.4489945000023,0.6786645839965786,,,,,,,,,,,,,,,,,,,,,,,,,,Dulce2,001,2022-11-05_13h58.28.996,Trial go no go,2022.2.4,60.07366521189869,
K,none,,,,,0,11,11,14,,,,,,,,,,,,,,,,,,,,,177.14929629200196,177.14929629200196,177.74900087500282,None,1,179.14937229200223,,,,,,,,,,,,,,,,,,,,,,,,,,,Dulce2,001,2022-11-05_13h58.28.996,Trial go no go,2022.2.4,60.07366521189869,
X,space,,,,,0,12,12,11,,,,,,,,,,,,,,,,,,,,,179.84938579200025,179.84938579200025,180.4489599590015,space,1,181.8500665419997,0.5458272919968294,,,,,,,,,,,,,,,,,,,,,,,,,,Dulce2,001,2022-11-05_13h58.28.996,Trial go no go,2022.2.4,60.07366521189869,
W,none,,,,,0,13,13,4,,,,,,,,,,,,,,,,,,,,,182.54968195900074,182.54968195900074,183.1492387920007,None,1,184.5492074169997,,,,,,,,,,,,,,,,,,,,,,,,,,,Dulce2,001,2022-11-05_13h58.28.996,Trial go no go,2022.2.4,60.07366521189869,
X,space,,,,,0,14,14,3,,,,,,,,,,,,,,,,,,,,,185.24922525000147,185.24922525000147,185.84965775000092,space,1,187.24920125000062,0.5113097499997821,,,,,,,,,,,,,,,,,,,,,,,,,,Dulce2,001,2022-11-05_13h58.28.996,Trial go no go,2022.2.4,60.07366521189869,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,187.94935241700296,188.41596600000048,space,9.238604250000208,,,,,,,,,,,,,,,,,,,,,,Dulce2,001,2022-11-05_13h58.28.996,Trial go no go,2022.2.4,60.07366521189869,
,,X,space,,,,,,,0,0,0,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,197.22952650000298,197.22952650000298,197.53322004200163,space,1,0.46946558299896424,,,,,,,,,,,,,,,,Dulce2,001,2022-11-05_13h58.28.996,Trial go no go,2022.2.4,60.07366521189869,
,,M,none,,,,,,,0,1,1,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,198.2326919590014,198.2326919590014,198.5330817920003,None,1,,,,,,,,,,,,,,,,,Dulce2,001,2022-11-05_13h58.28.996,Trial go no go,2022.2.4,60.07366521189869,
