stimulus_prac1,corrAns_prac1,stimulus_test1,corrAns_test1,stimulus_test2,corrAns_test2,prac_trials.thisRepN,prac_trials.thisTrialN,prac_trials.thisN,prac_trials.thisIndex,test1trial.thisRepN,test1trial.thisTrialN,test1trial.thisN,test1trial.thisIndex,test2trial.thisRepN,test2trial.thisTrialN,test2trial.thisN,test2trial.thisIndex,image_welcome.started,resp_Welcome.started,resp_Welcome.keys,resp_Welcome.rt,resp_Instr_Intro.started,image_Instr_Intro.started,resp_Instr_Intro.keys,resp_Instr_Intro.rt,resp_Instr_Prac1.started,image_Instr_Prac1.started,resp_Instr_Prac1.keys,resp_Instr_Prac1.rt,text_trial_Prac1.started,resp_trial_Prac1.started,text_trial_Prac1.stopped,resp_trial_Prac1.keys,resp_trial_Prac1.corr,text_Feedback_Prac1.started,resp_trial_Prac1.rt,resp_Instr_Test1.started,image_Instr_Test1.started,resp_Instr_Test1.keys,resp_Instr_Test1.rt,text_trial_Test1.started,resp_trial_Test1.started,text_trial_Test1.stopped,resp_trial_Test1.keys,resp_trial_Test1.corr,resp_trial_Test1.rt,resp_Instr_Test2.started,image_Instr_Test2.started,resp_Instr_Test2.keys,resp_Instr_Test2.rt,text_trial_Test2.started,key_resp.started,text_trial_Test2.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.stopped,resp_theEnd.started,image_theEnd.started,resp_theEnd.keys,resp_theEnd.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,9.136030917001335,9.136030917001335,space,5.172291999999288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hiram2,001,2022-11-04_15h43.23.532,Trial go no go,2022.2.4,60.06598260146599,
,,,,,,,,,,,,,,,,,,,,,,14.32706650000182,14.825699667002482,space,1.786163498996757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hiram2,001,2022-11-04_15h43.23.532,Trial go no go,2022.2.4,60.06598260146599,
,,,,,,,,,,,,,,,,,,,,,,,,,,16.143492334002076,16.642563166999025,space,2.733247123996989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hiram2,001,2022-11-04_15h43.23.532,Trial go no go,2022.2.4,60.06598260146599,
X,space,,,,,0,0,0,12,,,,,,,,,,,,,,,,,,,,,18.95684454200091,18.95684454200091,19.55915887499941,None,0,20.92817054199986,,,,,,,,,,,,,,,,,,,,,,,,,,,Hiram2,001,2022-11-04_15h43.23.532,Trial go no go,2022.2.4,60.06598260146599,
X,space,,,,,0,1,1,10,,,,,,,,,,,,,,,,,,,,,21.62586179199934,21.62586179199934,22.226144750002277,space,1,23.625514792001923,0.43233512499864446,,,,,,,,,,,,,,,,,,,,,,,,,,Hiram2,001,2022-11-04_15h43.23.532,Trial go no go,2022.2.4,60.06598260146599,
X,space,,,,,0,2,2,3,,,,,,,,,,,,,,,,,,,,,24.32567787500011,24.32567787500011,24.92567395900187,space,1,26.32610104199921,0.4703242909999972,,,,,,,,,,,,,,,,,,,,,,,,,,Hiram2,001,2022-11-04_15h43.23.532,Trial go no go,2022.2.4,60.06598260146599,
X,space,,,,,0,3,3,7,,,,,,,,,,,,,,,,,,,,,27.02586770900234,27.02586770900234,27.626150209001935,space,1,29.026332125002227,0.6529223329998786,,,,,,,,,,,,,,,,,,,,,,,,,,Hiram2,001,2022-11-04_15h43.23.532,Trial go no go,2022.2.4,60.06598260146599,
X,space,,,,,0,4,4,2,,,,,,,,,,,,,,,,,,,,,29.72613654200177,29.72613654200177,30.326192374999664,space,1,31.725958917002572,0.45562929099833127,,,,,,,,,,,,,,,,,,,,,,,,,,Hiram2,001,2022-11-04_15h43.23.532,Trial go no go,2022.2.4,60.06598260146599,
X,space,,,,,0,5,5,13,,,,,,,,,,,,,,,,,,,,,32.426055584001006,32.426055584001006,33.026097000001755,space,1,34.42627008400086,0.3820187489982345,,,,,,,,,,,,,,,,,,,,,,,,,,Hiram2,001,2022-11-04_15h43.23.532,Trial go no go,2022.2.4,60.06598260146599,
X,space,,,,,0,6,6,0,,,,,,,,,,,,,,,,,,,,,35.125996041999315,35.125996041999315,35.726119167000434,space,1,37.12604379199911,0.35669524900004035,,,,,,,,,,,,,,,,,,,,,,,,,,Hiram2,001,2022-11-04_15h43.23.532,Trial go no go,2022.2.4,60.06598260146599,
X,space,,,,,0,7,7,1,,,,,,,,,,,,,,,,,,,,,37.82649429199955,37.82649429199955,38.42641587500111,space,1,39.82606141699944,0.3482274990019505,,,,,,,,,,,,,,,,,,,,,,,,,,Hiram2,001,2022-11-04_15h43.23.532,Trial go no go,2022.2.4,60.06598260146599,
X,space,,,,,0,8,8,6,,,,,,,,,,,,,,,,,,,,,40.52639350000027,40.52639350000027,41.12662637500034,space,1,42.52602279200073,0.4073175829980755,,,,,,,,,,,,,,,,,,,,,,,,,,Hiram2,001,2022-11-04_15h43.23.532,Trial go no go,2022.2.4,60.06598260146599,
V,none,,,,,0,9,9,9,,,,,,,,,,,,,,,,,,,,,43.22623575000034,43.22623575000034,43.826927459002036,None,1,45.226311209000414,,,,,,,,,,,,,,,,,,,,,,,,,,,Hiram2,001,2022-11-04_15h43.23.532,Trial go no go,2022.2.4,60.06598260146599,
X,space,,,,,0,10,10,8,,,,,,,,,,,,,,,,,,,,,45.92621437500202,45.92621437500202,46.52670874999967,space,1,47.926459334001265,0.44148966599823325,,,,,,,,,,,,,,,,,,,,,,,,,,Hiram2,001,2022-11-04_15h43.23.532,Trial go no go,2022.2.4,60.06598260146599,
K,none,,,,,0,11,11,14,,,,,,,,,,,,,,,,,,,,,48.62691566700232,48.62691566700232,49.226431041999604,space,0,50.6264294169996,0.4561655409997911,,,,,,,,,,,,,,,,,,,,,,,,,,Hiram2,001,2022-11-04_15h43.23.532,Trial go no go,2022.2.4,60.06598260146599,
W,none,,,,,0,12,12,4,,,,,,,,,,,,,,,,,,,,,51.3264516670024,51.3264516670024,51.92666850000023,None,1,53.326931709001656,,,,,,,,,,,,,,,,,,,,,,,,,,,Hiram2,001,2022-11-04_15h43.23.532,Trial go no go,2022.2.4,60.06598260146599,
