stimulus_prac1,corrAns_prac1,stimulus_test1,corrAns_test1,stimulus_test2,corrAns_test2,prac_trials.thisRepN,prac_trials.thisTrialN,prac_trials.thisN,prac_trials.thisIndex,test1trial.thisRepN,test1trial.thisTrialN,test1trial.thisN,test1trial.thisIndex,test2trial.thisRepN,test2trial.thisTrialN,test2trial.thisN,test2trial.thisIndex,image_welcome.started,resp_Welcome.started,resp_Welcome.keys,resp_Welcome.rt,resp_Instr_Intro.started,image_Instr_Intro.started,resp_Instr_Intro.keys,resp_Instr_Intro.rt,resp_Instr_Prac1.started,image_Instr_Prac1.started,resp_Instr_Prac1.keys,resp_Instr_Prac1.rt,text_trial_Prac1.started,resp_trial_Prac1.started,text_trial_Prac1.stopped,resp_trial_Prac1.keys,resp_trial_Prac1.corr,resp_trial_Prac1.rt,text_Feedback_Prac1.started,resp_Instr_Test1.started,image_Instr_Test1.started,resp_Instr_Test1.keys,resp_Instr_Test1.rt,text_trial_Test1.started,resp_trial_Test1.started,text_trial_Test1.stopped,resp_trial_Test1.keys,resp_trial_Test1.corr,resp_trial_Test1.rt,resp_Instr_Test2.started,image_Instr_Test2.started,resp_Instr_Test2.keys,resp_Instr_Test2.rt,text_trial_Test2.started,key_resp.started,text_trial_Test2.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.stopped,resp_theEnd.started,image_theEnd.started,resp_theEnd.keys,resp_theEnd.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,10.971395124999617,10.971395124999617,space,4.517959374001293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Monica2,001,2022-11-03_17h16.24.398,Trial go no go,2022.2.4,59.79266903938077,
,,,,,,,,,,,,,,,,,,,,,,15.526989791998858,16.019054583999605,space,6.091120666000279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Monica2,001,2022-11-03_17h16.24.398,Trial go no go,2022.2.4,59.79266903938077,
,,,,,,,,,,,,,,,,,,,,,,,,,,21.636033041999326,22.120017999999618,space,3.7544355410009302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Monica2,001,2022-11-03_17h16.24.398,Trial go no go,2022.2.4,59.79266903938077,
X,space,,,,,0,0,0,12,,,,,,,,,,,,,,,,,,,,,25.456532709000385,25.456532709000385,26.06898383400039,space,1,0.5541357490001246,27.437832458999765,,,,,,,,,,,,,,,,,,,,,,,,,,Monica2,001,2022-11-03_17h16.24.398,Trial go no go,2022.2.4,59.79266903938077,
X,space,,,,,0,1,1,8,,,,,,,,,,,,,,,,,,,,,28.13539745900016,28.13539745900016,28.734966041998632,space,1,0.39911858300183667,30.13512945900038,,,,,,,,,,,,,,,,,,,,,,,,,,Monica2,001,2022-11-03_17h16.24.398,Trial go no go,2022.2.4,59.79266903938077,
X,space,,,,,0,2,2,3,,,,,,,,,,,,,,,,,,,,,30.835261124999306,30.835261124999306,31.435176375000083,space,1,0.4590144159992633,32.83555820899892,,,,,,,,,,,,,,,,,,,,,,,,,,Monica2,001,2022-11-03_17h16.24.398,Trial go no go,2022.2.4,59.79266903938077,
V,none,,,,,0,3,3,9,,,,,,,,,,,,,,,,,,,,,33.53538737499912,33.53538737499912,34.135342416999265,None,1,,35.53551904199958,,,,,,,,,,,,,,,,,,,,,,,,,,Monica2,001,2022-11-03_17h16.24.398,Trial go no go,2022.2.4,59.79266903938077,
X,space,,,,,0,4,4,11,,,,,,,,,,,,,,,,,,,,,36.235528874998636,36.235528874998636,36.83557637499871,space,1,0.6558964160012692,38.23550091699872,,,,,,,,,,,,,,,,,,,,,,,,,,Monica2,001,2022-11-03_17h16.24.398,Trial go no go,2022.2.4,59.79266903938077,
X,space,,,,,0,5,5,10,,,,,,,,,,,,,,,,,,,,,38.93537404199924,38.93537404199924,39.53533066700038,space,1,0.4153546239995194,40.93558604200007,,,,,,,,,,,,,,,,,,,,,,,,,,Monica2,001,2022-11-03_17h16.24.398,Trial go no go,2022.2.4,59.79266903938077,
X,space,,,,,0,6,6,2,,,,,,,,,,,,,,,,,,,,,41.635534375000134,41.635534375000134,42.23538912499862,space,1,0.4064301240014174,43.63542099999904,,,,,,,,,,,,,,,,,,,,,,,,,,Monica2,001,2022-11-03_17h16.24.398,Trial go no go,2022.2.4,59.79266903938077,
