word,colour,congruent,corrAns,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instruText.started,key_resp_2.started,target.started,response.started,response.keys,response.corr,response.rt,text.started,session,participant,date,expName,psychopyVersion,frameRate,
XXXXXX,green,2.0,s,0,0,0,21,21.40414768899791,21.40414768899791,35.241159561999666,35.241159561999666,s,1,1.0793753630023275,,001,DairaChavez2,2022-11-03_16h09.34.898,StroopTask,2022.2.4,59.835516950734316,
XXXXXX,blue,2.0,f,0,1,1,23,,,36.845303701000375,36.845303701000375,f,1,0.8142361620048177,,001,DairaChavez2,2022-11-03_16h09.34.898,StroopTask,2022.2.4,59.835516950734316,
XXX,blue,2.0,f,0,2,2,11,,,38.165611999997054,38.165611999997054,f,1,0.7139001390023623,,001,DairaChavez2,2022-11-03_16h09.34.898,StroopTask,2022.2.4,59.835516950734316,
azul,blue,1.0,f,0,3,3,3,,,39.385459531997185,39.385459531997185,f,1,0.8043708630029869,,001,DairaChavez2,2022-11-03_16h09.34.898,StroopTask,2022.2.4,59.835516950734316,
XXX,green,2.0,s,0,4,4,9,,,40.706052001998614,40.706052001998614,s,1,0.8787542220015894,,001,DairaChavez2,2022-11-03_16h09.34.898,StroopTask,2022.2.4,59.835516950734316,
rojo,red,1.0,a,0,5,5,0,,,42.091993984999135,42.091993984999135,a,1,0.6657327310022083,,001,DairaChavez2,2022-11-03_16h09.34.898,StroopTask,2022.2.4,59.835516950734316,
XXXXX,yellow,2.0,d,0,6,6,18,,,43.26264078999884,43.26264078999884,d,1,0.8371537950006314,,001,DairaChavez2,2022-11-03_16h09.34.898,StroopTask,2022.2.4,59.835516950734316,
XXXX,yellow,2.0,d,0,7,7,14,,,44.63269532399863,44.63269532399863,d,1,0.6143676130013773,,001,DairaChavez2,2022-11-03_16h09.34.898,StroopTask,2022.2.4,59.835516950734316,
rojo,green,0.0,s,0,8,8,4,,,45.75257700799921,45.75257700799921,s,1,0.7926185940050345,,001,DairaChavez2,2022-11-03_16h09.34.898,StroopTask,2022.2.4,59.835516950734316,
amarillo,yellow,1.0,d,0,9,9,2,,,47.07189514199854,47.07189514199854,d,1,1.2811160680030298,,001,DairaChavez2,2022-11-03_16h09.34.898,StroopTask,2022.2.4,59.835516950734316,
XXXXX,green,2.0,s,0,10,10,17,,,48.86091420199955,48.86091420199955,s,1,0.8599576910055475,,001,DairaChavez2,2022-11-03_16h09.34.898,StroopTask,2022.2.4,59.835516950734316,
XXX,red,2.0,a,0,11,11,8,,,50.23118055099985,50.23118055099985,a,1,0.8864350390031177,,001,DairaChavez2,2022-11-03_16h09.34.898,StroopTask,2022.2.4,59.835516950734316,
azul,blue,0.0,f,0,12,12,7,,,51.63488146799864,51.63488146799864,f,1,0.7216540780027572,,001,DairaChavez2,2022-11-03_16h09.34.898,StroopTask,2022.2.4,59.835516950734316,
