word,colour,congruent,corrAns,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instruText.started,key_resp_2.started,target.started,response.started,response.keys,response.corr,response.rt,text.started,session,participant,date,expName,psychopyVersion,frameRate,
XXX,green,2.0,s,0,0,0,9,9.992362457996933,9.992362457996933,34.88668462499845,34.88668462499845,a,0,1.2438563750038156,,001,Hiram2,2022-11-04_15h46.26.060,StroopTask,2022.2.4,59.95832896122495,
verde,green,1.0,s,0,1,1,1,,,36.65318849999676,36.65318849999676,s,1,0.8060267500040936,,001,Hiram2,2022-11-04_15h46.26.060,StroopTask,2022.2.4,59.95832896122495,
amarillo,red,0.0,a,0,2,2,6,,,37.98646899999949,37.98646899999949,a,1,0.7614107910012535,,001,Hiram2,2022-11-04_15h46.26.060,StroopTask,2022.2.4,59.95832896122495,
XXXX,yellow,2.0,d,0,3,3,14,,,39.26988495799742,39.26988495799742,d,1,0.7114882910027518,,001,Hiram2,2022-11-04_15h46.26.060,StroopTask,2022.2.4,59.95832896122495,
verde,yellow,0.0,d,0,4,4,5,,,40.50343866699768,40.50343866699768,s,0,0.9170130420025089,,001,Hiram2,2022-11-04_15h46.26.060,StroopTask,2022.2.4,59.95832896122495,
rojo,red,1.0,a,0,5,5,0,,,41.95340304199999,41.95340304199999,a,1,0.6728733750023821,,001,Hiram2,2022-11-04_15h46.26.060,StroopTask,2022.2.4,59.95832896122495,
XXXXXX,yellow,2.0,d,0,6,6,22,,,43.15341820799949,43.15341820799949,d,1,0.5484327920021315,,001,Hiram2,2022-11-04_15h46.26.060,StroopTask,2022.2.4,59.95832896122495,
azul,blue,1.0,f,0,7,7,3,,,44.2199167079998,44.2199167079998,f,1,0.5503854580019834,,001,Hiram2,2022-11-04_15h46.26.060,StroopTask,2022.2.4,59.95832896122495,
XXX,yellow,2.0,d,0,8,8,10,,,45.2868573329979,45.2868573329979,d,1,0.5957622090027144,,001,Hiram2,2022-11-04_15h46.26.060,StroopTask,2022.2.4,59.95832896122495,
XXX,blue,2.0,f,0,9,9,11,,,46.40362812499734,46.40362812499734,f,1,0.4839235420040495,,001,Hiram2,2022-11-04_15h46.26.060,StroopTask,2022.2.4,59.95832896122495,
XXXXX,red,2.0,a,0,10,10,16,,,47.40340916700006,47.40340916700006,a,1,0.5096521670020593,,001,Hiram2,2022-11-04_15h46.26.060,StroopTask,2022.2.4,59.95832896122495,
XXXXXX,blue,2.0,f,0,11,11,23,,,48.437147457996616,48.437147457996616,f,1,0.5626553330039314,,001,Hiram2,2022-11-04_15h46.26.060,StroopTask,2022.2.4,59.95832896122495,
XXXX,red,2.0,a,0,12,12,12,,,49.52022108299934,49.52022108299934,a,1,0.561885582999821,,001,Hiram2,2022-11-04_15h46.26.060,StroopTask,2022.2.4,59.95832896122495,
XXXX,green,2.0,s,0,13,13,13,,,50.60390404200007,50.60390404200007,s,1,0.5430857080027636,,001,Hiram2,2022-11-04_15h46.26.060,StroopTask,2022.2.4,59.95832896122495,
XXXX,blue,2.0,f,0,14,14,15,,,51.67044116699981,51.67044116699981,f,1,0.5703472910026903,,001,Hiram2,2022-11-04_15h46.26.060,StroopTask,2022.2.4,59.95832896122495,
XXXXX,blue,2.0,f,0,15,15,19,,,52.77035799999794,52.77035799999794,f,1,0.6149591670036898,,001,Hiram2,2022-11-04_15h46.26.060,StroopTask,2022.2.4,59.95832896122495,
XXXXX,yellow,2.0,d,0,16,16,18,,,53.90377191699736,53.90377191699736,d,1,0.4703371670038905,,001,Hiram2,2022-11-04_15h46.26.060,StroopTask,2022.2.4,59.95832896122495,
amarillo,yellow,1.0,d,0,17,17,2,,,54.90357816699907,54.90357816699907,d,1,0.5262400419996993,,001,Hiram2,2022-11-04_15h46.26.060,StroopTask,2022.2.4,59.95832896122495,
XXX,red,2.0,a,0,18,18,8,,,55.953951707997476,55.953951707997476,a,1,0.5498266249996959,,001,Hiram2,2022-11-04_15h46.26.060,StroopTask,2022.2.4,59.95832896122495,
XXXXX,green,2.0,s,0,19,19,17,,,57.020297374998336,57.020297374998336,s,1,0.5076877500032424,,001,Hiram2,2022-11-04_15h46.26.060,StroopTask,2022.2.4,59.95832896122495,
rojo,green,0.0,s,0,20,20,4,,,58.053601582996635,58.053601582996635,s,1,0.47064475000297534,,001,Hiram2,2022-11-04_15h46.26.060,StroopTask,2022.2.4,59.95832896122495,
azul,blue,0.0,f,0,21,21,7,,,59.05369733299813,59.05369733299813,f,1,0.6878251250018366,,001,Hiram2,2022-11-04_15h46.26.060,StroopTask,2022.2.4,59.95832896122495,
XXXXXX,red,2.0,a,0,22,22,20,,,60.27047399999719,60.27047399999719,a,1,0.5255262080027023,,001,Hiram2,2022-11-04_15h46.26.060,StroopTask,2022.2.4,59.95832896122495,
XXXXXX,green,2.0,s,0,23,23,21,,,61.32086137499937,61.32086137499937,s,1,0.5171426660053839,,001,Hiram2,2022-11-04_15h46.26.060,StroopTask,2022.2.4,59.95832896122495,
verde,yellow,0.0,d,1,0,24,5,,,62.370823749999545,62.370823749999545,d,1,0.3947225830015668,,001,Hiram2,2022-11-04_15h46.26.060,StroopTask,2022.2.4,59.95832896122495,
XXXXXX,green,2.0,s,1,1,25,21,,,63.287035666999145,63.287035666999145,s,1,0.4999004590026743,,001,Hiram2,2022-11-04_15h46.26.060,StroopTask,2022.2.4,59.95832896122495,
XXXXX,yellow,2.0,d,1,2,26,18,,,64.30387620799956,64.30387620799956,d,1,0.5068782080052188,,001,Hiram2,2022-11-04_15h46.26.060,StroopTask,2022.2.4,59.95832896122495,
XXXXX,red,2.0,a,1,3,27,16,,,65.33722820799812,65.33722820799812,a,1,0.5667432500049472,,001,Hiram2,2022-11-04_15h46.26.060,StroopTask,2022.2.4,59.95832896122495,
rojo,green,0.0,s,1,4,28,4,,,66.42049745799886,66.42049745799886,s,1,0.7423064170034195,,001,Hiram2,2022-11-04_15h46.26.060,StroopTask,2022.2.4,59.95832896122495,
XXXX,green,2.0,s,1,5,29,13,,,67.68733808299658,67.68733808299658,s,1,0.47356362500431715,,001,Hiram2,2022-11-04_15h46.26.060,StroopTask,2022.2.4,59.95832896122495,
XXXXX,green,2.0,s,1,6,30,17,,,68.68732179199651,68.68732179199651,s,1,0.43110720900222077,,001,Hiram2,2022-11-04_15h46.26.060,StroopTask,2022.2.4,59.95832896122495,
XXX,green,2.0,s,1,7,31,9,,,69.63737329199648,69.63737329199648,s,1,0.5085231670054782,,001,Hiram2,2022-11-04_15h46.26.060,StroopTask,2022.2.4,59.95832896122495,
azul,blue,0.0,f,1,8,32,7,,,70.67091533299754,70.67091533299754,f,1,0.7390043330051412,,001,Hiram2,2022-11-04_15h46.26.060,StroopTask,2022.2.4,59.95832896122495,
azul,blue,1.0,f,1,9,33,3,,,71.93751220799822,71.93751220799822,f,1,0.4215889170009177,,001,Hiram2,2022-11-04_15h46.26.060,StroopTask,2022.2.4,59.95832896122495,
XXX,red,2.0,a,1,10,34,8,,,72.88664145799703,72.88664145799703,a,1,0.8172110000050452,,001,Hiram2,2022-11-04_15h46.26.060,StroopTask,2022.2.4,59.95832896122495,
XXX,blue,2.0,f,1,11,35,11,,,74.20513091699831,74.20513091699831,f,1,0.5555476250010543,,001,Hiram2,2022-11-04_15h46.26.060,StroopTask,2022.2.4,59.95832896122495,
XXXXXX,blue,2.0,f,1,12,36,23,,,75.28734541699669,75.28734541699669,f,1,0.3943961670011049,,001,Hiram2,2022-11-04_15h46.26.060,StroopTask,2022.2.4,59.95832896122495,
XXXXXX,red,2.0,a,1,13,37,20,,,76.20421854199958,76.20421854199958,s,0,0.5331644160032738,,001,Hiram2,2022-11-04_15h46.26.060,StroopTask,2022.2.4,59.95832896122495,
