word,colour,congruent,corrAns,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instruText.started,key_resp_2.started,target.started,response.started,response.keys,response.corr,response.rt,text.started,session,participant,date,expName,psychopyVersion,frameRate,
rojo,green,0.0,s,0,0,0,4,18.12027533305809,18.12027533305809,43.8813631250523,43.8813631250523,s,1,1.1544472509995103,,001,Jovanatrejo,2022-10-27_15h54.47.943,StroopTask,2022.2.4,None,
XXXXXX,red,2.0,a,0,1,1,20,,,45.566372958011925,45.566372958011925,a,1,1.4644791670143604,,001,Jovanatrejo,2022-10-27_15h54.47.943,StroopTask,2022.2.4,None,
XXX,red,2.0,a,0,2,2,8,,,47.53521854104474,47.53521854104474,a,1,0.7918962079565972,,001,Jovanatrejo,2022-10-27_15h54.47.943,StroopTask,2022.2.4,None,
XXXXXX,green,2.0,s,0,3,3,21,,,48.85202150000259,48.85202150000259,s,1,0.9335879168938845,,001,Jovanatrejo,2022-10-27_15h54.47.943,StroopTask,2022.2.4,None,
azul,blue,1.0,f,0,4,4,3,,,50.29951108293608,50.29951108293608,f,1,1.4340347917750478,,001,Jovanatrejo,2022-10-27_15h54.47.943,StroopTask,2022.2.4,None,
XXXX,yellow,2.0,d,0,5,5,14,,,52.25221912492998,52.25221912492998,d,1,0.9625791667494923,,001,Jovanatrejo,2022-10-27_15h54.47.943,StroopTask,2022.2.4,None,
XXXXXX,blue,2.0,f,0,6,6,23,,,53.734769582981244,53.734769582981244,f,1,0.9926138340961188,,001,Jovanatrejo,2022-10-27_15h54.47.943,StroopTask,2022.2.4,None,
XXX,green,2.0,s,0,7,7,9,,,55.25180649990216,55.25180649990216,s,1,0.9604812087491155,,001,Jovanatrejo,2022-10-27_15h54.47.943,StroopTask,2022.2.4,None,
XXXXX,yellow,2.0,d,0,8,8,18,,,56.71838791598566,56.71838791598566,d,1,1.1904447090346366,,001,Jovanatrejo,2022-10-27_15h54.47.943,StroopTask,2022.2.4,None,
verde,green,1.0,s,0,9,9,1,,,58.43297474994324,58.43297474994324,s,1,1.282800749875605,,001,Jovanatrejo,2022-10-27_15h54.47.943,StroopTask,2022.2.4,None,
XXXXX,red,2.0,a,0,10,10,16,,,60.2331314580515,60.2331314580515,a,1,1.028771250974387,,001,Jovanatrejo,2022-10-27_15h54.47.943,StroopTask,2022.2.4,None,
XXXX,blue,2.0,f,0,11,11,15,,,61.78495020791888,61.78495020791888,f,1,1.0731205421034247,,001,Jovanatrejo,2022-10-27_15h54.47.943,StroopTask,2022.2.4,None,
azul,blue,0.0,f,0,12,12,7,,,63.38434183294885,63.38434183294885,f,1,0.8639157088473439,,001,Jovanatrejo,2022-10-27_15h54.47.943,StroopTask,2022.2.4,None,
XXXXXX,yellow,2.0,d,0,13,13,22,,,64.74726008297876,64.74726008297876,d,1,1.1183502508793026,,001,Jovanatrejo,2022-10-27_15h54.47.943,StroopTask,2022.2.4,None,
