word,colour,congruent,corrAns,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instruText.started,key_resp_2.started,target.started,response.started,response.keys,response.corr,response.rt,text.started,session,participant,date,expName,psychopyVersion,frameRate,
XXXXX,yellow,2.0,d,0,0,0,18,13.879334333119914,13.879334333119914,34.07899025012739,34.07899025012739,d,1,0.8966685838531703,,001,Monica,2022-10-27_14h32.01.251,StroopTask,2022.2.4,None,
XXX,green,2.0,s,0,1,1,9,,,35.483300500083715,35.483300500083715,s,1,0.7901805827859789,,001,Monica,2022-10-27_14h32.01.251,StroopTask,2022.2.4,None,
XXX,blue,2.0,f,0,2,2,11,,,36.79971679113805,36.79971679113805,f,1,0.721746833762154,,001,Monica,2022-10-27_14h32.01.251,StroopTask,2022.2.4,None,
azul,blue,0.0,f,0,3,3,7,,,38.045645375037566,38.045645375037566,f,1,0.64982520788908,,001,Monica,2022-10-27_14h32.01.251,StroopTask,2022.2.4,None,
XXXXXX,yellow,2.0,d,0,4,4,22,,,39.21647808304988,39.21647808304988,d,1,0.9712076247669756,,001,Monica,2022-10-27_14h32.01.251,StroopTask,2022.2.4,None,
XXXXX,blue,2.0,f,0,5,5,19,,,40.712263124994934,40.712263124994934,f,1,1.0093979588709772,,001,Monica,2022-10-27_14h32.01.251,StroopTask,2022.2.4,None,
XXXXXX,red,2.0,a,0,6,6,20,,,42.245471250033006,42.245471250033006,a,1,0.805847791954875,,001,Monica,2022-10-27_14h32.01.251,StroopTask,2022.2.4,None,
XXX,yellow,2.0,d,0,7,7,10,,,43.57873108307831,43.57873108307831,d,1,0.9176410418003798,,001,Monica,2022-10-27_14h32.01.251,StroopTask,2022.2.4,None,
XXXX,green,2.0,s,0,8,8,13,,,45.01618129108101,45.01618129108101,s,1,0.7184227916877717,,001,Monica,2022-10-27_14h32.01.251,StroopTask,2022.2.4,None,
XXXXXX,green,2.0,s,0,9,9,21,,,46.26634829095565,46.26634829095565,s,1,0.506128333741799,,001,Monica,2022-10-27_14h32.01.251,StroopTask,2022.2.4,None,
XXXXXX,blue,2.0,f,0,10,10,23,,,47.28326016617939,47.28326016617939,f,1,0.7557488337624818,,001,Monica,2022-10-27_14h32.01.251,StroopTask,2022.2.4,None,
XXXX,red,2.0,a,0,11,11,12,,,48.55027554114349,48.55027554114349,a,1,0.7003466668538749,,001,Monica,2022-10-27_14h32.01.251,StroopTask,2022.2.4,None,
XXXXX,red,2.0,a,0,12,12,16,,,49.77846008306369,49.77846008306369,a,1,0.49571037595160306,,001,Monica,2022-10-27_14h32.01.251,StroopTask,2022.2.4,None,
