word,colour,congruent,corrAns,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instruText.started,key_resp_2.started,target.started,response.started,response.keys,response.corr,response.rt,text.started,session,participant,date,expName,psychopyVersion,frameRate,
XXXX,red,2.0,a,0,0,0,12,21.2381803749995,21.2381803749995,53.93603037499997,53.93603037499997,a,1,1.3225536669997382,,001,VianyMuñoz2,2022-11-03_22h41.45.473,StroopTask,2022.2.4,59.96769252550225,
XXX,yellow,2.0,d,0,1,1,10,,,55.786345374999655,55.786345374999655,d,1,0.9767879169994558,,001,VianyMuñoz2,2022-11-03_22h41.45.473,StroopTask,2022.2.4,59.96769252550225,
rojo,red,1.0,a,0,2,2,0,,,57.286171749999994,57.286171749999994,a,1,0.8582980829996814,,001,VianyMuñoz2,2022-11-03_22h41.45.473,StroopTask,2022.2.4,59.96769252550225,
XXXXX,green,2.0,s,0,3,3,17,,,58.66959825000049,58.66959825000049,s,1,1.1960383330006152,,001,VianyMuñoz2,2022-11-03_22h41.45.473,StroopTask,2022.2.4,59.96769252550225,
XXXXXX,blue,2.0,f,0,4,4,23,,,60.386324082999636,60.386324082999636,f,1,0.9420645419995708,,001,VianyMuñoz2,2022-11-03_22h41.45.473,StroopTask,2022.2.4,59.96769252550225,
azul,blue,1.0,f,0,5,5,3,,,61.85318245800045,61.85318245800045,f,1,0.765591665998727,,001,VianyMuñoz2,2022-11-03_22h41.45.473,StroopTask,2022.2.4,59.96769252550225,
XXXXXX,red,2.0,a,0,6,6,20,,,63.136363875000825,63.136363875000825,a,1,0.833278624999366,,001,VianyMuñoz2,2022-11-03_22h41.45.473,StroopTask,2022.2.4,59.96769252550225,
XXXXX,blue,2.0,f,0,7,7,19,,,64.47059391600123,64.47059391600123,f,1,0.8291106249998847,,001,VianyMuñoz2,2022-11-03_22h41.45.473,StroopTask,2022.2.4,59.96769252550225,
XXX,green,2.0,s,0,8,8,9,,,65.82001320800009,65.82001320800009,s,1,0.9421383749995584,,001,VianyMuñoz2,2022-11-03_22h41.45.473,StroopTask,2022.2.4,59.96769252550225,
verde,yellow,0.0,d,0,9,9,5,,,67.28652658300052,67.28652658300052,d,1,1.0396334580000257,,001,VianyMuñoz2,2022-11-03_22h41.45.473,StroopTask,2022.2.4,59.96769252550225,
XXXXX,red,2.0,a,0,10,10,16,,,68.85309337500075,68.85309337500075,a,1,0.7592167910006538,,001,VianyMuñoz2,2022-11-03_22h41.45.473,StroopTask,2022.2.4,59.96769252550225,
azul,blue,0.0,f,0,11,11,7,,,70.13641354100037,70.13641354100037,f,1,0.6533278339993558,,001,VianyMuñoz2,2022-11-03_22h41.45.473,StroopTask,2022.2.4,59.96769252550225,
XXX,blue,2.0,f,0,12,12,11,,,71.32022554099967,71.32022554099967,f,1,0.5851832090011158,,001,VianyMuñoz2,2022-11-03_22h41.45.473,StroopTask,2022.2.4,59.96769252550225,
XXXX,blue,2.0,f,0,13,13,15,,,72.43642870800068,72.43642870800068,f,1,0.5652417090004747,,001,VianyMuñoz2,2022-11-03_22h41.45.473,StroopTask,2022.2.4,59.96769252550225,
XXXX,green,2.0,s,0,14,14,13,,,73.51991724999971,73.51991724999971,s,1,0.7778844160002336,,001,VianyMuñoz2,2022-11-03_22h41.45.473,StroopTask,2022.2.4,59.96769252550225,
