word,colour,congruent,corrAns,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instruText.started,key_resp_2.started,target.started,response.started,response.keys,response.corr,response.rt,text.started,session,participant,date,expName,psychopyVersion,frameRate,
XXXXX,blue,2.0,f,0,0,0,19,18.933866749999652,18.933866749999652,31.275762958000996,31.275762958000996,f,1,1.136083833000157,,001,karlaMoreno2,2022-11-03_15h56.19.100,StroopTask,2022.2.4,60.51125963290926,
XXXXXX,green,2.0,s,0,1,1,21,,,32.9426600830011,32.9426600830011,s,1,0.7584884579991922,,001,karlaMoreno2,2022-11-03_15h56.19.100,StroopTask,2022.2.4,60.51125963290926,
XXXXXX,yellow,2.0,d,0,2,2,22,,,34.22605929100064,34.22605929100064,d,1,0.6363150420002057,,001,karlaMoreno2,2022-11-03_15h56.19.100,StroopTask,2022.2.4,60.51125963290926,
XXXXXX,red,2.0,a,0,3,3,20,,,35.392329415999484,35.392329415999484,a,1,0.6483758329995908,,001,karlaMoreno2,2022-11-03_15h56.19.100,StroopTask,2022.2.4,60.51125963290926,
XXX,blue,2.0,f,0,4,4,11,,,36.55902975000026,36.55902975000026,f,1,0.6527019170007407,,001,karlaMoreno2,2022-11-03_15h56.19.100,StroopTask,2022.2.4,60.51125963290926,
verde,green,1.0,s,0,5,5,1,,,37.74258345800081,37.74258345800081,s,1,0.7132688749989029,,001,karlaMoreno2,2022-11-03_15h56.19.100,StroopTask,2022.2.4,60.51125963290926,
XXXX,yellow,2.0,d,0,6,6,14,,,38.97586033300104,38.97586033300104,d,1,0.7080660419997002,,001,karlaMoreno2,2022-11-03_15h56.19.100,StroopTask,2022.2.4,60.51125963290926,
azul,blue,1.0,f,0,7,7,3,,,40.20956312499948,40.20956312499948,f,1,0.7736364159991354,,001,karlaMoreno2,2022-11-03_15h56.19.100,StroopTask,2022.2.4,60.51125963290926,
verde,yellow,0.0,d,0,8,8,5,,,41.50936829100101,41.50936829100101,d,1,0.7998787910000829,,001,karlaMoreno2,2022-11-03_15h56.19.100,StroopTask,2022.2.4,60.51125963290926,
XXXXX,yellow,2.0,d,0,9,9,18,,,42.82583862499996,42.82583862499996,d,1,0.6758597089992691,,001,karlaMoreno2,2022-11-03_15h56.19.100,StroopTask,2022.2.4,60.51125963290926,
XXXX,green,2.0,s,0,10,10,13,,,44.02578704100051,44.02578704100051,s,1,0.8010544999997364,,001,karlaMoreno2,2022-11-03_15h56.19.100,StroopTask,2022.2.4,60.51125963290926,
rojo,red,1.0,a,0,11,11,0,,,45.35967087500103,45.35967087500103,a,1,0.7347266249998938,,001,karlaMoreno2,2022-11-03_15h56.19.100,StroopTask,2022.2.4,60.51125963290926,
XXX,green,2.0,s,0,12,12,9,,,46.62594233299933,46.62594233299933,s,1,0.8322261670000444,,001,karlaMoreno2,2022-11-03_15h56.19.100,StroopTask,2022.2.4,60.51125963290926,
XXX,yellow,2.0,d,0,13,13,10,,,47.976396457999726,47.976396457999726,d,1,0.6616321249985049,,001,karlaMoreno2,2022-11-03_15h56.19.100,StroopTask,2022.2.4,60.51125963290926,
XXXX,blue,2.0,f,0,14,14,15,,,49.15946841600089,49.15946841600089,f,1,0.7653790839995054,,001,karlaMoreno2,2022-11-03_15h56.19.100,StroopTask,2022.2.4,60.51125963290926,
azul,blue,0.0,f,0,15,15,7,,,50.44294504100071,50.44294504100071,f,1,0.7371225419992697,,001,karlaMoreno2,2022-11-03_15h56.19.100,StroopTask,2022.2.4,60.51125963290926,
XXX,red,2.0,a,0,16,16,8,,,51.70968841600006,51.70968841600006,a,1,0.8362240839996957,,001,karlaMoreno2,2022-11-03_15h56.19.100,StroopTask,2022.2.4,60.51125963290926,
amarillo,red,0.0,a,0,17,17,6,,,53.076362750000044,53.076362750000044,a,1,0.7331635000009555,,001,karlaMoreno2,2022-11-03_15h56.19.100,StroopTask,2022.2.4,60.51125963290926,
XXXX,red,2.0,a,0,18,18,12,,,54.32612637500097,54.32612637500097,a,1,0.5814814590012247,,001,karlaMoreno2,2022-11-03_15h56.19.100,StroopTask,2022.2.4,60.51125963290926,
