word,colour,congruent,corrAns,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instruText.started,key_resp_2.started,target.started,response.started,response.keys,response.corr,response.rt,text.started,session,participant,date,expName,psychopyVersion,frameRate,
XXXX,green,2.0,s,0,0,0,13,101.82387787500193,101.82387787500193,118.80335133300105,118.80335133300105,s,1,1.0361507499983418,,001,samano2,2022-11-16_20h54.06.189,StroopTask,2022.2.4,60.28702641367183,
amarillo,red,0.0,a,0,1,1,6,,,120.37075458300387,120.37075458300387,a,1,1.7797589999972843,,001,samano2,2022-11-16_20h54.06.189,StroopTask,2022.2.4,60.28702641367183,
XXX,blue,2.0,f,0,2,2,11,,,122.67095825000433,122.67095825000433,f,1,0.8041320420015836,,001,samano2,2022-11-16_20h54.06.189,StroopTask,2022.2.4,60.28702641367183,
XXXX,red,2.0,a,0,3,3,12,,,124.00327720800124,124.00327720800124,a,1,0.9319529999920633,,001,samano2,2022-11-16_20h54.06.189,StroopTask,2022.2.4,60.28702641367183,
XXXXXX,green,2.0,s,0,4,4,21,,,125.45358508299978,125.45358508299978,s,1,0.7255287079970003,,001,samano2,2022-11-16_20h54.06.189,StroopTask,2022.2.4,60.28702641367183,
XXXX,blue,2.0,f,0,5,5,15,,,126.70423995800229,126.70423995800229,f,1,0.8810897909934283,,001,samano2,2022-11-16_20h54.06.189,StroopTask,2022.2.4,60.28702641367183,
rojo,red,1.0,a,0,6,6,0,,,128.103796125004,128.103796125004,a,1,0.7646261659974698,,001,samano2,2022-11-16_20h54.06.189,StroopTask,2022.2.4,60.28702641367183,
XXX,yellow,2.0,d,0,7,7,10,,,129.3871957500014,129.3871957500014,d,1,0.7747974159938167,,001,samano2,2022-11-16_20h54.06.189,StroopTask,2022.2.4,60.28702641367183,
rojo,green,0.0,s,0,8,8,4,,,130.67048587500176,130.67048587500176,s,1,0.8818152079984429,,001,samano2,2022-11-16_20h54.06.189,StroopTask,2022.2.4,60.28702641367183,
verde,yellow,0.0,d,0,9,9,5,,,132.0708520420012,132.0708520420012,d,1,2.0381443329970352,,001,samano2,2022-11-16_20h54.06.189,StroopTask,2022.2.4,60.28702641367183,
XXXXXX,blue,2.0,f,0,10,10,23,,,134.63705525000114,134.63705525000114,f,1,1.1018258330004755,,001,samano2,2022-11-16_20h54.06.189,StroopTask,2022.2.4,60.28702641367183,
XXXXX,red,2.0,a,0,11,11,16,,,136.27076754200243,136.27076754200243,a,1,0.8548572910003713,,001,samano2,2022-11-16_20h54.06.189,StroopTask,2022.2.4,60.28702641367183,
azul,blue,0.0,f,0,12,12,7,,,137.65447212500294,137.65447212500294,f,1,0.9154207079991465,,001,samano2,2022-11-16_20h54.06.189,StroopTask,2022.2.4,60.28702641367183,
XXX,green,2.0,s,0,13,13,9,,,139.08778958300536,139.08778958300536,s,1,0.9618694579985458,,001,samano2,2022-11-16_20h54.06.189,StroopTask,2022.2.4,60.28702641367183,
XXXXX,blue,2.0,f,0,14,14,19,,,140.57114050000382,140.57114050000382,f,1,1.1601732079943758,,001,samano2,2022-11-16_20h54.06.189,StroopTask,2022.2.4,60.28702641367183,
XXXXX,green,2.0,s,0,15,15,17,,,142.25458879200596,142.25458879200596,s,1,0.8703719999975874,,001,samano2,2022-11-16_20h54.06.189,StroopTask,2022.2.4,60.28702641367183,
verde,green,1.0,s,0,16,16,1,,,143.65415866699914,143.65415866699914,s,1,0.9234494580014143,,001,samano2,2022-11-16_20h54.06.189,StroopTask,2022.2.4,60.28702641367183,
XXX,red,2.0,a,0,17,17,8,,,145.10402745800093,145.10402745800093,a,1,0.8860006249960861,,001,samano2,2022-11-16_20h54.06.189,StroopTask,2022.2.4,60.28702641367183,
amarillo,yellow,1.0,d,0,18,18,2,,,146.52115312500246,146.52115312500246,d,1,0.8019009579948033,,001,samano2,2022-11-16_20h54.06.189,StroopTask,2022.2.4,60.28702641367183,
azul,blue,1.0,f,0,19,19,3,,,147.85440737500176,147.85440737500176,f,1,1.0896672499948181,,001,samano2,2022-11-16_20h54.06.189,StroopTask,2022.2.4,60.28702641367183,
XXXXX,yellow,2.0,d,0,20,20,18,,,149.47121120800148,149.47121120800148,d,1,0.9260425419925014,,001,samano2,2022-11-16_20h54.06.189,StroopTask,2022.2.4,60.28702641367183,
XXXXXX,yellow,2.0,d,0,21,21,22,,,150.92163133300346,150.92163133300346,d,1,0.8076718739976059,,001,samano2,2022-11-16_20h54.06.189,StroopTask,2022.2.4,60.28702641367183,
XXXXXX,red,2.0,a,0,22,22,20,,,152.2377153330017,152.2377153330017,a,1,0.765415457994095,,001,samano2,2022-11-16_20h54.06.189,StroopTask,2022.2.4,60.28702641367183,
XXXX,yellow,2.0,d,0,23,23,14,,,153.52176820800378,153.52176820800378,d,1,0.8180882079977891,,001,samano2,2022-11-16_20h54.06.189,StroopTask,2022.2.4,60.28702641367183,
XXXX,blue,2.0,f,1,0,24,15,,,154.87133745800384,154.87133745800384,f,1,0.8365924159952556,,001,samano2,2022-11-16_20h54.06.189,StroopTask,2022.2.4,60.28702641367183,
verde,green,1.0,s,1,1,25,1,,,156.23787354200613,156.23787354200613,s,1,0.8437824579959852,,001,samano2,2022-11-16_20h54.06.189,StroopTask,2022.2.4,60.28702641367183,
XXXXXX,red,2.0,a,1,2,26,20,,,157.60445829200034,157.60445829200034,a,1,0.815423957996245,,001,samano2,2022-11-16_20h54.06.189,StroopTask,2022.2.4,60.28702641367183,
amarillo,yellow,1.0,d,1,3,27,2,,,158.92179512500297,158.92179512500297,d,1,0.6557665409927722,,001,samano2,2022-11-16_20h54.06.189,StroopTask,2022.2.4,60.28702641367183,
XXXXX,blue,2.0,f,1,4,28,19,,,160.10487887500494,160.10487887500494,f,1,0.7723440409972682,,001,samano2,2022-11-16_20h54.06.189,StroopTask,2022.2.4,60.28702641367183,
XXX,red,2.0,a,1,5,29,8,,,161.38837883300585,161.38837883300585,a,1,0.7511445409982116,,001,samano2,2022-11-16_20h54.06.189,StroopTask,2022.2.4,60.28702641367183,
XXXX,green,2.0,s,1,6,30,13,,,162.67181537500437,162.67181537500437,s,1,0.7534314160002396,,001,samano2,2022-11-16_20h54.06.189,StroopTask,2022.2.4,60.28702641367183,
XXXX,yellow,2.0,d,1,7,31,14,,,163.95540237500245,163.95540237500245,d,1,0.6807742919991142,,001,samano2,2022-11-16_20h54.06.189,StroopTask,2022.2.4,60.28702641367183,
XXXXXX,blue,2.0,f,1,8,32,23,,,165.15482316700218,165.15482316700218,f,1,0.9595404999927268,,001,samano2,2022-11-16_20h54.06.189,StroopTask,2022.2.4,60.28702641367183,
verde,yellow,0.0,d,1,9,33,5,,,166.62169237500348,166.62169237500348,d,1,0.7001006249993225,,001,samano2,2022-11-16_20h54.06.189,StroopTask,2022.2.4,60.28702641367183,
azul,blue,1.0,f,1,10,34,3,,,167.83846116700443,167.83846116700443,f,1,0.8976654159996542,,001,samano2,2022-11-16_20h54.06.189,StroopTask,2022.2.4,60.28702641367183,
XXXXX,green,2.0,s,1,11,35,17,,,169.25514737499907,169.25514737499907,s,1,0.9373590420000255,,001,samano2,2022-11-16_20h54.06.189,StroopTask,2022.2.4,60.28702641367183,
rojo,green,0.0,s,1,12,36,4,,,170.7050654170016,170.7050654170016,s,1,0.6646519159985473,,001,samano2,2022-11-16_20h54.06.189,StroopTask,2022.2.4,60.28702641367183,
XXX,blue,2.0,f,1,13,37,11,,,171.88867058300093,171.88867058300093,f,1,0.7683126659976551,,001,samano2,2022-11-16_20h54.06.189,StroopTask,2022.2.4,60.28702641367183,
azul,blue,0.0,f,1,14,38,7,,,173.18841608300136,173.18841608300136,f,1,0.6604170829959912,,001,samano2,2022-11-16_20h54.06.189,StroopTask,2022.2.4,60.28702641367183,
XXX,yellow,2.0,d,1,15,39,10,,,174.3552472500014,174.3552472500014,d,1,0.705042333000165,,001,samano2,2022-11-16_20h54.06.189,StroopTask,2022.2.4,60.28702641367183,
rojo,red,1.0,a,1,16,40,0,,,175.58816341700003,175.58816341700003,a,1,0.8106397499941522,,001,samano2,2022-11-16_20h54.06.189,StroopTask,2022.2.4,60.28702641367183,
amarillo,red,0.0,a,1,17,41,6,,,176.92170083300152,176.92170083300152,a,1,0.6625731659951271,,001,samano2,2022-11-16_20h54.06.189,StroopTask,2022.2.4,60.28702641367183,
XXXXXX,green,2.0,s,1,18,42,21,,,178.1051096670053,178.1051096670053,s,1,0.9323527499946067,,001,samano2,2022-11-16_20h54.06.189,StroopTask,2022.2.4,60.28702641367183,
XXX,green,2.0,s,1,19,43,9,,,179.55551308300346,179.55551308300346,s,1,0.5565344159986125,,001,samano2,2022-11-16_20h54.06.189,StroopTask,2022.2.4,60.28702641367183,
XXXXX,yellow,2.0,d,1,20,44,18,,,180.63858316700498,180.63858316700498,d,1,0.83169383299537,,001,samano2,2022-11-16_20h54.06.189,StroopTask,2022.2.4,60.28702641367183,
XXXX,red,2.0,a,1,21,45,12,,,181.98908862499957,181.98908862499957,a,1,0.8511777499952586,,001,samano2,2022-11-16_20h54.06.189,StroopTask,2022.2.4,60.28702641367183,
XXXXXX,yellow,2.0,d,1,22,46,22,,,183.37257987500197,183.37257987500197,d,1,0.6665847080003005,,001,samano2,2022-11-16_20h54.06.189,StroopTask,2022.2.4,60.28702641367183,
XXXXX,red,2.0,a,1,23,47,16,,,184.55525766700157,184.55525766700157,a,1,0.9288478329981444,,001,samano2,2022-11-16_20h54.06.189,StroopTask,2022.2.4,60.28702641367183,
,,,,,,,,,,,,,,,185.52941208300035,,,,,,,
