S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,CorrAns3,CorrAns4,CorrAns5,CorrAns6,CorrAns7,CorrAns8,CorrAns9,CorrAns10,CorrAns11,CorrAns12,CorrAns13,CorrAns14,CorrAns15,CorrAns16,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,Seq4_tr.started,recall_resp,key_resp_4.keys,key_resp_4.corr,key_resp_4.rt,Seq4_tr.stopped,text_go.started,key_resp_5.started,DS,key_resp2_2.keys,key_resp2_2.corr,key_resp2_2.rt,score,Forward WM score,B_DS,key_resp2_2B.keys,key_resp2_2B.corr,key_resp2_2B.rt,Backward WM score,participant,session,date,expName,psychopyVersion,frameRate,
8,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,"['8', '1', '6']",None,None,None,None,None,None,None,None,None,None,None,None,None,,,,,0,0,0,0,,,,,40.194255834001524,816,"['1', '2', '3', '4']",0,"[0.37725475000115694, 0.7315222079996602, 1.060406749998947, 1.339647042001161, 1.9071139580009913]",41.19437458399989,43.6282427920014,43.6282427920014,3,"['8', '1', '6']",0,"[1.6907441659968754, 2.2294744579994585, 2.4375124990001495, 3.701499873997818]",1,,,,,,,Hiram2,001,2022-11-04_15h33.20.336,DS_Adapt1L,2022.2.4,60.43205876146691,
4,7,2,9,0,0,0,0,0,0,0,0,0,0,0,0,"['4', '7', '2']","['4', '7', '2', '9']",None,None,None,None,None,None,None,None,None,None,None,None,,,,,0,1,1,1,,,,,,4729,,,,,,,4,"['4', '7', '2', '9']",0,"[2.4992553329975635, 2.786546791998262, 3.3007355419977102, 3.485605874997418, 4.279269041999214]",1,,,,,,,Hiram2,001,2022-11-04_15h33.20.336,DS_Adapt1L,2022.2.4,60.43205876146691,
6,9,1,7,2,0,0,0,0,0,0,0,0,0,0,0,"['6', '9', '1']","['6', '9', '1', '7']","['6', '9', '1', '7', '2']",None,None,None,None,None,None,None,None,None,None,None,,,,,0,2,2,2,,,,,,69172,,,,,,,5,"['6', '9', '1', '7', '2']",0,"[1.1010619999979099, 1.4006428329994378, 2.0061277909990167, 2.2684803749980347, 2.4691615409974474, 3.875080124998931]",1,,,,,,,Hiram2,001,2022-11-04_15h33.20.336,DS_Adapt1L,2022.2.4,60.43205876146691,
7,9,4,1,8,2,0,0,0,0,0,0,0,0,0,0,"['7', '9', '4']","['7', '9', '4', '1']","['7', '9', '4', '1', '8']","['7', '9', '4', '1', '8', '2']",None,None,None,None,None,None,None,None,None,None,,,,,0,3,3,3,,,,,,794182,,,,,,,6,"['7', '9', '4', '1', '8', '2']",0,"[1.5110204579978017, 1.754013791000034, 2.3369194579972827, 2.581103249998705, 3.176104040998325, 3.282618833000015, 4.705166290998022]",1,,,,,,,Hiram2,001,2022-11-04_15h33.20.336,DS_Adapt1L,2022.2.4,60.43205876146691,
5,2,8,4,7,3,9,0,0,0,0,0,0,0,0,0,"['5', '2', '8']","['5', '2', '8', '4']","['5', '2', '8', '4', '7']","['5', '2', '8', '4', '7', '3']","['5', '2', '8', '4', '7', '3', '9']",None,None,None,None,None,None,None,None,None,,,,,0,4,4,4,,,,,,5284729,,,,,,,7,"['5', '2', '8', '4', '7', '2', '9']",0,"[2.4657029999980296, 2.966462083000806, 3.36794799999916, 4.408482332997664, 4.6842357919995266, 4.876411082997947, 5.20289133299957, 9.065553332999116]",0,,,,,,,Hiram2,001,2022-11-04_15h33.20.336,DS_Adapt1L,2022.2.4,60.43205876146691,
2,5,1,7,4,9,3,8,0,0,0,0,0,0,0,0,"['2', '5', '1']","['2', '5', '1', '7']","['2', '5', '1', '7', '4']","['2', '5', '1', '7', '4', '9']","['2', '5', '1', '7', '4', '9', '3']","['2', '5', '1', '7', '4', '9', '3', '8']",None,None,None,None,None,None,None,None,,,,,0,5,5,5,,,,,,2517429,,,,,,,7,"['2', '5', '1', '7', '4', '2', '9']",0,"[3.1962989999992715, 3.4203629169969645, 3.6845544169991626, 5.958786707997206, 6.3154656249971595, 6.401097874997504, 6.691550749997987, 8.532788041997264]",0,,,,,,,Hiram2,001,2022-11-04_15h33.20.336,DS_Adapt1L,2022.2.4,60.43205876146691,
6,2,5,8,3,9,4,1,7,0,0,0,0,0,0,0,"['6', '2', '5']","['6', '2', '5', '8']","['6', '2', '5', '8', '3']","['6', '2', '5', '8', '3', '9']","['6', '2', '5', '8', '3', '9', '4']","['6', '2', '5', '8', '3', '9', '4', '1']","['6', '2', '5', '8', '3', '9', '4', '1', '7']",None,None,None,None,None,None,None,,,,,0,6,6,6,,,,,,625839,,,,,,,6,"['6', '2', '5', '8', '3', '9']",0,"[1.4715742499975022, 1.9669837080000434, 2.350399874998402, 3.4890709169994807, 3.679924416999711, 3.852446417000465, 6.139426624999032]",1,,,,,,,Hiram2,001,2022-11-04_15h33.20.336,DS_Adapt1L,2022.2.4,60.43205876146691,
1,7,3,8,4,9,5,2,6,9,0,0,0,0,0,0,"['1', '7', '3']","['1', '7', '3', '8']","['1', '7', '3', '8', '4']","['1', '7', '3', '8', '4', '9']","['1', '7', '3', '8', '4', '9', '5']","['1', '7', '3', '8', '4', '9', '5', '2']","['1', '7', '3', '8', '4', '9', '5', '2', '6']","['1', '7', '3', '8', '4', '9', '5', '2', '6', '9']",None,None,None,None,None,None,,,,,0,7,7,7,,,,,,1738495,,,,,,,7,"['1', '7', '3', '8', '4', '9', '5']",0,"[0.9211798750002345, 1.2629817919987545, 1.6064219580002828, 2.1744691249987227, 2.5197665829982725, 2.7824644579995947, 2.9928398330011987, 6.984839791999548]",1,,,,,,,Hiram2,001,2022-11-04_15h33.20.336,DS_Adapt1L,2022.2.4,60.43205876146691,
4,9,6,2,5,8,1,7,3,7,4,0,0,0,0,0,"['4', '9', '6']","['4', '9', '6', '2']","['4', '9', '6', '2', '5']","['4', '9', '6', '2', '5', '8']","['4', '9', '6', '2', '5', '8', '1']","['4', '9', '6', '2', '5', '8', '1', '7']","['4', '9', '6', '2', '5', '8', '1', '7', '3']","['4', '9', '6', '2', '5', '8', '1', '7', '3', '7']","['4', '9', '6', '2', '5', '8', '1', '7', '3', '7', '4']",None,None,None,None,None,,,,,0,8,8,8,,,,,,42617343,,,,,,,8,"['4', '2', '6', '1', '7', '3', '4', '3']",0,"[2.982057999000972, 4.0630961659990135, 4.515630207999493, 5.494996290999552, 6.068213416001527, 6.359476374000224, 6.804785748998256, 8.739202415999898, 9.053035916000226]",0,,,,,,,Hiram2,001,2022-11-04_15h33.20.336,DS_Adapt1L,2022.2.4,60.43205876146691,
8,4,1,7,3,6,2,5,9,1,6,3,0,0,0,0,"['8', '4', '1']","['8', '4', '1', '7']","['8', '4', '1', '7', '3']","['8', '4', '1', '7', '3', '6']","['8', '4', '1', '7', '3', '6', '2']","['8', '4', '1', '7', '3', '6', '2', '5']","['8', '4', '1', '7', '3', '6', '2', '5', '9']","['8', '4', '1', '7', '3', '6', '2', '5', '9', '1']","['8', '4', '1', '7', '3', '6', '2', '5', '9', '1', '6']","['8', '4', '1', '7', '3', '6', '2', '5', '9', '1', '6', '3']",None,None,None,None,,,,,0,9,9,9,,,,,,84173646,,,,,,,8,"['8', '4', '1', '7', '3', '6', '4', '6']",0,"[1.5655818329978501, 2.092383457998949, 2.221950625000318, 3.0130312500004948, 3.2916851669979224, 3.4937049170002865, 15.532420249997813, 15.913611625001067, 17.892139208001026]",0,,,,,,,Hiram2,001,2022-11-04_15h33.20.336,DS_Adapt1L,2022.2.4,60.43205876146691,
