S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,CorrAns3,CorrAns4,CorrAns5,CorrAns6,CorrAns7,CorrAns8,CorrAns9,CorrAns10,CorrAns11,CorrAns12,CorrAns13,CorrAns14,CorrAns15,CorrAns16,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,Seq4_tr.started,recall_resp,key_resp_4.keys,key_resp_4.corr,key_resp_4.rt,Seq4_tr.stopped,text_go.started,key_resp_5.started,DS,key_resp2_2.keys,key_resp2_2.corr,key_resp2_2.rt,score,Forward WM score,B_DS,key_resp2_2B.keys,key_resp2_2B.corr,key_resp2_2B.rt,Backward WM score,participant,session,date,expName,psychopyVersion,frameRate,
8,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,"['8', '1', '6']",None,None,None,None,None,None,None,None,None,None,None,None,None,,,,,0,0,0,0,,,,,82.34439770004246,816,"['1', '2', '3', '4']",0,"[1.6833952000597492, 1.9377677000593394, 2.229039300000295, 2.5037087000673637, 3.936455799965188]",83.34469800000079,87.79287889995612,87.79287889995612,3,"['8', '1', '6']",0,"[1.832971900003031, 2.270248100045137, 2.646129100001417, 3.672833799966611]",1,,,,,,,ezraquintana2,001,2022-11-03_15h16.07.771,DS_Adapt1L,2022.2.4,60.2882865621468,
4,7,2,9,0,0,0,0,0,0,0,0,0,0,0,0,"['4', '7', '2']","['4', '7', '2', '9']",None,None,None,None,None,None,None,None,None,None,None,None,,,,,0,1,1,1,,,,,,4729,,,,,,,4,"['4', '7', '2', '9']",0,"[1.91864849999547, 2.52952949993778, 3.0910517999436706, 3.348827200010419, 5.5372997999656945]",1,,,,,,,ezraquintana2,001,2022-11-03_15h16.07.771,DS_Adapt1L,2022.2.4,60.2882865621468,
6,9,1,7,2,0,0,0,0,0,0,0,0,0,0,0,"['6', '9', '1']","['6', '9', '1', '7']","['6', '9', '1', '7', '2']",None,None,None,None,None,None,None,None,None,None,None,,,,,0,2,2,2,,,,,,69172,,,,,,,5,"['6', '9', '1', '7', '2']",0,"[1.3390846999827772, 2.0840108999982476, 2.7292753000510857, 3.161123999976553, 3.444718800019473, 4.746631299960427]",1,,,,,,,ezraquintana2,001,2022-11-03_15h16.07.771,DS_Adapt1L,2022.2.4,60.2882865621468,
7,9,4,1,8,2,0,0,0,0,0,0,0,0,0,0,"['7', '9', '4']","['7', '9', '4', '1']","['7', '9', '4', '1', '8']","['7', '9', '4', '1', '8', '2']",None,None,None,None,None,None,None,None,None,None,,,,,0,3,3,3,,,,,,794182,,,,,,,6,"['7', '9', '4', '1', '8', '2']",0,"[1.4518054999643937, 1.975372500019148, 2.6401807999936864, 3.1042248000157997, 3.586364099988714, 4.09240189997945, 6.072715500020422]",1,,,,,,,ezraquintana2,001,2022-11-03_15h16.07.771,DS_Adapt1L,2022.2.4,60.2882865621468,
5,2,8,4,7,3,9,0,0,0,0,0,0,0,0,0,"['5', '2', '8']","['5', '2', '8', '4']","['5', '2', '8', '4', '7']","['5', '2', '8', '4', '7', '3']","['5', '2', '8', '4', '7', '3', '9']",None,None,None,None,None,None,None,None,None,,,,,0,4,4,4,,,,,,5274832,,,,,,,7,"['5', '2', '7', '4', '8', '3', '2']",0,"[1.6857743000146002, 2.685168700059876, 3.3017840000102296, 3.791394800064154, 7.008198900031857, 7.307353600044735, 7.55011359998025, 8.815118000027724]",0,,,,,,,ezraquintana2,001,2022-11-03_15h16.07.771,DS_Adapt1L,2022.2.4,60.2882865621468,
2,5,1,7,4,9,3,8,0,0,0,0,0,0,0,0,"['2', '5', '1']","['2', '5', '1', '7']","['2', '5', '1', '7', '4']","['2', '5', '1', '7', '4', '9']","['2', '5', '1', '7', '4', '9', '3']","['2', '5', '1', '7', '4', '9', '3', '8']",None,None,None,None,None,None,None,None,,,,,0,5,5,5,,,,,,2157493,,,,,,,7,"['2', '1', '5', '7', '4', '9', '3']",0,"[1.8724372999276966, 2.1284188999561593, 2.6460111000342295, 3.3762682999949902, 3.8890033999923617, 4.261910200002603, 4.645536000025459, 6.146101600024849]",0,,,,,,,ezraquintana2,001,2022-11-03_15h16.07.771,DS_Adapt1L,2022.2.4,60.2882865621468,
6,2,5,8,3,9,4,1,7,0,0,0,0,0,0,0,"['6', '2', '5']","['6', '2', '5', '8']","['6', '2', '5', '8', '3']","['6', '2', '5', '8', '3', '9']","['6', '2', '5', '8', '3', '9', '4']","['6', '2', '5', '8', '3', '9', '4', '1']","['6', '2', '5', '8', '3', '9', '4', '1', '7']",None,None,None,None,None,None,None,,,,,0,6,6,6,,,,,,7665839,,,,,,,6,"['7', '6', '6', '5', '8', '3', '9']",0,"[1.8519653000403196, 2.8222476000664756, 3.589746000012383, 4.063338400097564, 5.471306000021286, 6.185647400096059, 6.532706400030293, 7.817206400097348]",0,,,,,,,ezraquintana2,001,2022-11-03_15h16.07.771,DS_Adapt1L,2022.2.4,60.2882865621468,
1,7,3,8,4,9,5,2,6,9,0,0,0,0,0,0,"['1', '7', '3']","['1', '7', '3', '8']","['1', '7', '3', '8', '4']","['1', '7', '3', '8', '4', '9']","['1', '7', '3', '8', '4', '9', '5']","['1', '7', '3', '8', '4', '9', '5', '2']","['1', '7', '3', '8', '4', '9', '5', '2', '6']","['1', '7', '3', '8', '4', '9', '5', '2', '6', '9']",None,None,None,None,None,None,,,,,0,7,7,7,,,,,,177349,,,,,,,6,"['1', '7', '7', '3', '4', '9']",0,"[4.041448300005868, 4.236411100020632, 5.421373600023799, 5.7734445000533015, 6.623375200084411, 7.645304900011979, 9.566963599994779]",0,,,,,,,ezraquintana2,001,2022-11-03_15h16.07.771,DS_Adapt1L,2022.2.4,60.2882865621468,
4,9,6,2,5,8,1,7,3,7,4,0,0,0,0,0,"['4', '9', '6']","['4', '9', '6', '2']","['4', '9', '6', '2', '5']","['4', '9', '6', '2', '5', '8']","['4', '9', '6', '2', '5', '8', '1']","['4', '9', '6', '2', '5', '8', '1', '7']","['4', '9', '6', '2', '5', '8', '1', '7', '3']","['4', '9', '6', '2', '5', '8', '1', '7', '3', '7']","['4', '9', '6', '2', '5', '8', '1', '7', '3', '7', '4']",None,None,None,None,None,,,,,0,8,8,8,,,,,,79625,,,,,,,5,"['7', '9', '6', '2', '5']",0,"[2.2446078000357375, 2.687631200067699, 3.178648700006306, 3.7431408000411466, 3.932540800073184, 5.355421500047669]",0,,,,,,,ezraquintana2,001,2022-11-03_15h16.07.771,DS_Adapt1L,2022.2.4,60.2882865621468,
8,4,1,7,3,6,2,5,9,1,6,3,0,0,0,0,"['8', '4', '1']","['8', '4', '1', '7']","['8', '4', '1', '7', '3']","['8', '4', '1', '7', '3', '6']","['8', '4', '1', '7', '3', '6', '2']","['8', '4', '1', '7', '3', '6', '2', '5']","['8', '4', '1', '7', '3', '6', '2', '5', '9']","['8', '4', '1', '7', '3', '6', '2', '5', '9', '1']","['8', '4', '1', '7', '3', '6', '2', '5', '9', '1', '6']","['8', '4', '1', '7', '3', '6', '2', '5', '9', '1', '6', '3']",None,None,None,None,,,,,0,9,9,9,,,,,,84173,,,,,,,5,"['8', '4', '1', '7', '3']",0,"[2.009495300007984, 2.492454400053248, 3.123544500092976, 3.3234968000324443, 3.660783000057563, 4.627699900069274]",1,,,,,,,ezraquintana2,001,2022-11-03_15h16.07.771,DS_Adapt1L,2022.2.4,60.2882865621468,
