word,colour,congruent,corrAns,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instruText.started,key_resp_2.started,target.started,response.started,response.keys,response.corr,response.rt,text.started,session,participant,date,expName,psychopyVersion,frameRate,
XXX,green,2,s,0,0,0,9,30.05251569999382,30.05251569999382,40.4299875999568,40.4299875999568,s,1,1.4119223000016063,,001,EzraQuintana2,2022-11-03_15h31.04.799,StroopTask,2022.2.4,60.04657212644732,
XXXXXX,blue,2,f,0,1,1,23,,,42.36302589997649,42.36302589997649,f,1,0.916687700082548,,001,EzraQuintana2,2022-11-03_15h31.04.799,StroopTask,2022.2.4,60.04657212644732,
rojo,red,1,a,0,2,2,0,,,43.795870399917476,43.795870399917476,a,1,0.9920923999743536,,001,EzraQuintana2,2022-11-03_15h31.04.799,StroopTask,2022.2.4,60.04657212644732,
verde,yellow,0,d,0,3,3,5,,,45.31223239994142,45.31223239994142,d,1,0.9002970000728965,,001,EzraQuintana2,2022-11-03_15h31.04.799,StroopTask,2022.2.4,60.04657212644732,
rojo,green,0,s,0,4,4,4,,,46.72858349990565,46.72858349990565,s,1,0.8846183998975903,,001,EzraQuintana2,2022-11-03_15h31.04.799,StroopTask,2022.2.4,60.04657212644732,
XXXX,green,2,s,0,5,5,13,,,48.14507689990569,48.14507689990569,s,1,0.7226223000325263,,001,EzraQuintana2,2022-11-03_15h31.04.799,StroopTask,2022.2.4,60.04657212644732,
XXXXX,red,2,a,0,6,6,16,,,49.394900399958715,49.394900399958715,a,1,0.9290441999910399,,001,EzraQuintana2,2022-11-03_15h31.04.799,StroopTask,2022.2.4,60.04657212644732,
XXX,red,2,a,0,7,7,8,,,50.84453289990779,50.84453289990779,a,1,0.6482301999349147,,001,EzraQuintana2,2022-11-03_15h31.04.799,StroopTask,2022.2.4,60.04657212644732,
XXX,blue,2,f,0,8,8,11,,,52.01113759994041,52.01113759994041,f,1,0.7407209000084549,,001,EzraQuintana2,2022-11-03_15h31.04.799,StroopTask,2022.2.4,60.04657212644732,
azul,blue,1,f,0,9,9,3,,,53.277300799963996,53.277300799963996,f,1,0.7625546000199392,,001,EzraQuintana2,2022-11-03_15h31.04.799,StroopTask,2022.2.4,60.04657212644732,
XXX,yellow,2,d,0,10,10,10,,,54.561439299955964,54.561439299955964,d,1,0.8942560999421403,,001,EzraQuintana2,2022-11-03_15h31.04.799,StroopTask,2022.2.4,60.04657212644732,
verde,green,1,s,0,11,11,1,,,55.97752660000697,55.97752660000697,s,1,0.8677364001050591,,001,EzraQuintana2,2022-11-03_15h31.04.799,StroopTask,2022.2.4,60.04657212644732,
amarillo,red,0,a,0,12,12,6,,,57.376990099903196,57.376990099903196,a,1,0.8104203999973834,,001,EzraQuintana2,2022-11-03_15h31.04.799,StroopTask,2022.2.4,60.04657212644732,
XXXX,blue,2,f,0,13,13,15,,,58.71072410000488,58.71072410000488,f,1,0.9204553000163287,,001,EzraQuintana2,2022-11-03_15h31.04.799,StroopTask,2022.2.4,60.04657212644732,
XXXX,yellow,2,d,0,14,14,14,,,60.160200399928726,60.160200399928726,d,1,0.9037585000041872,,001,EzraQuintana2,2022-11-03_15h31.04.799,StroopTask,2022.2.4,60.04657212644732,
XXXXX,blue,2,f,0,15,15,19,,,61.59333179995883,61.59333179995883,f,1,0.8166863999795169,,001,EzraQuintana2,2022-11-03_15h31.04.799,StroopTask,2022.2.4,60.04657212644732,
XXXX,red,2,a,0,16,16,12,,,62.925504899933,62.925504899933,a,1,0.9409131000284106,,001,EzraQuintana2,2022-11-03_15h31.04.799,StroopTask,2022.2.4,60.04657212644732,
XXXXXX,red,2,a,0,17,17,20,,,64.39190839999355,64.39190839999355,a,1,0.7487285999814048,,001,EzraQuintana2,2022-11-03_15h31.04.799,StroopTask,2022.2.4,60.04657212644732,
XXXXX,yellow,2,d,0,18,18,18,,,65.65836130001117,65.65836130001117,d,1,0.9104965999722481,,001,EzraQuintana2,2022-11-03_15h31.04.799,StroopTask,2022.2.4,60.04657212644732,
XXXXXX,green,2,s,0,19,19,21,,,67.09195849997923,67.09195849997923,s,1,0.9912492000730708,,001,EzraQuintana2,2022-11-03_15h31.04.799,StroopTask,2022.2.4,60.04657212644732,
amarillo,yellow,1,d,0,20,20,2,,,68.6078031999059,68.6078031999059,d,1,0.900541500071995,,001,EzraQuintana2,2022-11-03_15h31.04.799,StroopTask,2022.2.4,60.04657212644732,
XXXXXX,yellow,2,d,0,21,21,22,,,70.04070069990121,70.04070069990121,d,1,0.690855500055477,,001,EzraQuintana2,2022-11-03_15h31.04.799,StroopTask,2022.2.4,60.04657212644732,
azul,blue,0,f,0,22,22,7,,,71.25729199999478,71.25729199999478,f,1,0.7722765000071377,,001,EzraQuintana2,2022-11-03_15h31.04.799,StroopTask,2022.2.4,60.04657212644732,
XXXXX,green,2,s,0,23,23,17,,,72.556961699971,72.556961699971,s,1,0.9626009999774396,,001,EzraQuintana2,2022-11-03_15h31.04.799,StroopTask,2022.2.4,60.04657212644732,
XXXX,yellow,2,d,1,0,24,14,,,74.040859599947,74.040859599947,d,1,0.7212137000169605,,001,EzraQuintana2,2022-11-03_15h31.04.799,StroopTask,2022.2.4,60.04657212644732,
XXXXX,green,2,s,1,1,25,17,,,75.29062230000272,75.29062230000272,s,1,0.8920127999735996,,001,EzraQuintana2,2022-11-03_15h31.04.799,StroopTask,2022.2.4,60.04657212644732,
XXX,yellow,2,d,1,2,26,10,,,76.70691989990883,76.70691989990883,d,1,0.7123020000290126,,001,EzraQuintana2,2022-11-03_15h31.04.799,StroopTask,2022.2.4,60.04657212644732,
XXXXX,red,2,a,1,3,27,16,,,77.9401847999543,77.9401847999543,a,1,0.93656269996427,,001,EzraQuintana2,2022-11-03_15h31.04.799,StroopTask,2022.2.4,60.04657212644732,
rojo,red,1,a,1,4,28,0,,,79.40631039999425,79.40631039999425,a,1,0.6524489999283105,,001,EzraQuintana2,2022-11-03_15h31.04.799,StroopTask,2022.2.4,60.04657212644732,
XXXXXX,yellow,2,d,1,5,29,22,,,80.58968709991314,80.58968709991314,d,1,0.8593482000287622,,001,EzraQuintana2,2022-11-03_15h31.04.799,StroopTask,2022.2.4,60.04657212644732,
azul,blue,1,f,1,6,30,3,,,81.97235399996862,81.97235399996862,f,1,0.8597002000315115,,001,EzraQuintana2,2022-11-03_15h31.04.799,StroopTask,2022.2.4,60.04657212644732,
XXX,blue,2,f,1,7,31,11,,,83.35486449999735,83.35486449999735,f,1,0.6981294000288472,,001,EzraQuintana2,2022-11-03_15h31.04.799,StroopTask,2022.2.4,60.04657212644732,
XXX,green,2,s,1,8,32,9,,,84.57159049995244,84.57159049995244,s,1,1.0166445000795648,,001,EzraQuintana2,2022-11-03_15h31.04.799,StroopTask,2022.2.4,60.04657212644732,
verde,yellow,0,d,1,9,33,5,,,86.10428979992867,86.10428979992867,d,1,0.8916696000378579,,001,EzraQuintana2,2022-11-03_15h31.04.799,StroopTask,2022.2.4,60.04657212644732,
XXXXXX,red,2,a,1,10,34,20,,,87.52076639991719,87.52076639991719,a,1,0.7506589000113308,,001,EzraQuintana2,2022-11-03_15h31.04.799,StroopTask,2022.2.4,60.04657212644732,
XXXX,red,2,a,1,11,35,12,,,88.80395789991599,88.80395789991599,a,1,0.6854330999776721,,001,EzraQuintana2,2022-11-03_15h31.04.799,StroopTask,2022.2.4,60.04657212644732,
verde,green,1,s,1,12,36,1,,,90.02024669991806,90.02024669991806,s,1,0.9579547999892384,,001,EzraQuintana2,2022-11-03_15h31.04.799,StroopTask,2022.2.4,60.04657212644732,
XXXX,blue,2,f,1,13,37,15,,,91.50317699997686,91.50317699997686,f,1,0.9182693000184372,,001,EzraQuintana2,2022-11-03_15h31.04.799,StroopTask,2022.2.4,60.04657212644732,
XXXX,green,2,s,1,14,38,13,,,92.936931299977,92.936931299977,s,1,0.9716598000377417,,001,EzraQuintana2,2022-11-03_15h31.04.799,StroopTask,2022.2.4,60.04657212644732,
XXXXXX,blue,2,f,1,15,39,23,,,94.43693219998386,94.43693219998386,f,1,0.8838760999497026,,001,EzraQuintana2,2022-11-03_15h31.04.799,StroopTask,2022.2.4,60.04657212644732,
azul,blue,0,f,1,16,40,7,,,95.83666979998816,95.83666979998816,f,1,0.7487710999557748,,001,EzraQuintana2,2022-11-03_15h31.04.799,StroopTask,2022.2.4,60.04657212644732,
rojo,green,0,s,1,17,41,4,,,97.10303819994442,97.10303819994442,s,1,1.0044735999545082,,001,EzraQuintana2,2022-11-03_15h31.04.799,StroopTask,2022.2.4,60.04657212644732,
XXX,red,2,a,1,18,42,8,,,98.63618119992316,98.63618119992316,a,1,0.8862386000109836,,001,EzraQuintana2,2022-11-03_15h31.04.799,StroopTask,2022.2.4,60.04657212644732,
XXXXXX,green,2,s,1,19,43,21,,,100.05254399997648,100.05254399997648,s,1,0.8222897000377998,,001,EzraQuintana2,2022-11-03_15h31.04.799,StroopTask,2022.2.4,60.04657212644732,
XXXXX,blue,2,f,1,20,44,19,,,101.40168809995521,101.40168809995521,f,1,0.8160833000438288,,001,EzraQuintana2,2022-11-03_15h31.04.799,StroopTask,2022.2.4,60.04657212644732,
amarillo,yellow,1,d,1,21,45,2,,,102.73446309997234,102.73446309997234,d,1,0.8537428999552503,,001,EzraQuintana2,2022-11-03_15h31.04.799,StroopTask,2022.2.4,60.04657212644732,
amarillo,red,0,a,1,22,46,6,,,104.11749649990816,104.11749649990816,a,1,0.9083747999975458,,001,EzraQuintana2,2022-11-03_15h31.04.799,StroopTask,2022.2.4,60.04657212644732,
XXXXX,yellow,2,d,1,23,47,18,,,105.55039379990194,105.55039379990194,d,1,0.7889267998980358,,001,EzraQuintana2,2022-11-03_15h31.04.799,StroopTask,2022.2.4,60.04657212644732,
,,,,,,,,,,,,,,,106.4272600999102,,,,,,,
