word,colour,congruent,corrAns,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instruText.started,key_resp_2.started,target.started,response.started,response.keys,response.corr,response.rt,text.started,session,participant,date,expName,psychopyVersion,frameRate,
XXX,red,2.0,a,0,0,0,8,12.731813166999927,12.731813166999927,21.79948987500029,21.79948987500029,a,1,0.9667553330000374,,001,Monica2,2022-11-03_17h19.44.676,StroopTask,2022.2.4,59.74807213486564,
XXXXXX,red,2.0,a,0,1,1,20,,,23.28320866700051,23.28320866700051,a,1,0.5917153320006037,,001,Monica2,2022-11-03_17h19.44.676,StroopTask,2022.2.4,59.74807213486564,
XXX,blue,2.0,f,0,2,2,11,,,24.399705750000066,24.399705750000066,f,1,0.8317434159980621,,001,Monica2,2022-11-03_17h19.44.676,StroopTask,2022.2.4,59.74807213486564,
XXX,yellow,2.0,d,0,3,3,10,,,25.749941584001135,25.749941584001135,d,1,0.8258172080004442,,001,Monica2,2022-11-03_17h19.44.676,StroopTask,2022.2.4,59.74807213486564,
XXXXX,green,2.0,s,0,4,4,17,,,27.099513459001173,27.099513459001173,s,1,0.7204354570003488,,001,Monica2,2022-11-03_17h19.44.676,StroopTask,2022.2.4,59.74807213486564,
XXXX,yellow,2.0,d,0,5,5,14,,,28.34975216699968,28.34975216699968,d,1,0.8166539159992681,,001,Monica2,2022-11-03_17h19.44.676,StroopTask,2022.2.4,59.74807213486564,
XXXXXX,blue,2.0,f,0,6,6,23,,,29.683182417000353,29.683182417000353,f,1,0.6731594579978264,,001,Monica2,2022-11-03_17h19.44.676,StroopTask,2022.2.4,59.74807213486564,
XXXXX,blue,2.0,f,0,7,7,19,,,30.883613792000688,30.883613792000688,f,1,0.5425509569995484,,001,Monica2,2022-11-03_17h19.44.676,StroopTask,2022.2.4,59.74807213486564,
XXXX,green,2.0,s,0,8,8,13,,,31.949983333999626,31.949983333999626,s,1,0.6669857489996502,,001,Monica2,2022-11-03_17h19.44.676,StroopTask,2022.2.4,59.74807213486564,
XXXXX,red,2.0,a,0,9,9,16,,,33.13310737500069,33.13310737500069,a,1,0.9085557909984345,,001,Monica2,2022-11-03_17h19.44.676,StroopTask,2022.2.4,59.74807213486564,
verde,green,1.0,s,0,10,10,1,,,34.56679733400051,34.56679733400051,s,1,1.0378097079992585,,001,Monica2,2022-11-03_17h19.44.676,StroopTask,2022.2.4,59.74807213486564,
amarillo,red,0.0,a,0,11,11,6,,,36.133604333999756,36.133604333999756,a,1,1.0609335410008498,,001,Monica2,2022-11-03_17h19.44.676,StroopTask,2022.2.4,59.74807213486564,
XXXX,blue,2.0,f,0,12,12,15,,,37.716553625001325,37.716553625001325,f,1,0.6561402909992466,,001,Monica2,2022-11-03_17h19.44.676,StroopTask,2022.2.4,59.74807213486564,
amarillo,yellow,1.0,d,0,13,13,2,,,38.88375216700115,38.88375216700115,d,1,0.8244033739993029,,001,Monica2,2022-11-03_17h19.44.676,StroopTask,2022.2.4,59.74807213486564,
azul,blue,1.0,f,0,14,14,3,,,40.23322929200003,40.23322929200003,f,1,0.6214067909986625,,001,Monica2,2022-11-03_17h19.44.676,StroopTask,2022.2.4,59.74807213486564,
verde,yellow,0.0,d,0,15,15,5,,,41.38401229200099,41.38401229200099,d,1,0.8337959579985181,,001,Monica2,2022-11-03_17h19.44.676,StroopTask,2022.2.4,59.74807213486564,
rojo,green,0.0,s,0,16,16,4,,,42.75046400000065,42.75046400000065,s,1,1.2167337069986388,,001,Monica2,2022-11-03_17h19.44.676,StroopTask,2022.2.4,59.74807213486564,
XXXXXX,green,2.0,s,0,17,17,21,,,44.484070250000514,44.484070250000514,s,1,0.5825638330006768,,001,Monica2,2022-11-03_17h19.44.676,StroopTask,2022.2.4,59.74807213486564,
rojo,red,1.0,a,0,18,18,0,,,45.58392504200128,45.58392504200128,a,1,0.8316066239985958,,001,Monica2,2022-11-03_17h19.44.676,StroopTask,2022.2.4,59.74807213486564,
azul,blue,0.0,f,0,19,19,7,,,46.93397916700087,46.93397916700087,f,1,0.705274833000658,,001,Monica2,2022-11-03_17h19.44.676,StroopTask,2022.2.4,59.74807213486564,
