word,colour,congruent,corrAns,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instruText.started,key_resp_2.started,target.started,response.started,response.keys,response.corr,response.rt,text.started,session,participant,date,expName,psychopyVersion,frameRate,
azul,blue,0.0,f,0,0,0,7,12.571789333000197,12.571789333000197,17.72451016699779,17.72451016699779,f,1,1.7033430840019719,,001,dulce2,2022-11-05_14h04.41.851,StroopTask,2022.2.4,60.22608873829184,
XXXXX,green,2.0,s,0,1,1,17,,,19.9579929169995,19.9579929169995,s,1,0.9654378760023974,,001,dulce2,2022-11-05_14h04.41.851,StroopTask,2022.2.4,60.22608873829184,
XXXX,yellow,2.0,d,0,2,2,14,,,21.441488124997704,21.441488124997704,d,1,0.6439759580025566,,001,dulce2,2022-11-05_14h04.41.851,StroopTask,2022.2.4,60.22608873829184,
XXXXX,blue,2.0,f,0,3,3,19,,,22.60793025000021,22.60793025000021,f,1,0.8492012500028068,,001,dulce2,2022-11-05_14h04.41.851,StroopTask,2022.2.4,60.22608873829184,
XXXXXX,red,2.0,a,0,4,4,20,,,23.974640500000532,23.974640500000532,a,1,0.8497982080007205,,001,dulce2,2022-11-05_14h04.41.851,StroopTask,2022.2.4,60.22608873829184,
XXX,yellow,2.0,d,0,5,5,10,,,25.341470916999242,25.341470916999242,d,1,0.9491049999996903,,001,dulce2,2022-11-05_14h04.41.851,StroopTask,2022.2.4,60.22608873829184,
XXXXXX,blue,2.0,f,0,6,6,23,,,26.80814383300094,26.80814383300094,f,1,0.7608656260017597,,001,dulce2,2022-11-05_14h04.41.851,StroopTask,2022.2.4,60.22608873829184,
amarillo,red,0.0,a,0,7,7,6,,,28.07931712500067,28.07931712500067,a,1,0.61541820900311,,001,dulce2,2022-11-05_14h04.41.851,StroopTask,2022.2.4,60.22608873829184,
XXXX,blue,2.0,f,0,8,8,15,,,29.224848207999457,29.224848207999457,f,1,0.8850742500035267,,001,dulce2,2022-11-05_14h04.41.851,StroopTask,2022.2.4,60.22608873829184,
rojo,red,1.0,a,0,9,9,0,,,30.641308541999024,30.641308541999024,a,1,0.6825400840025395,,001,dulce2,2022-11-05_14h04.41.851,StroopTask,2022.2.4,60.22608873829184,
XXXXXX,yellow,2.0,d,0,10,10,22,,,31.84137095799815,31.84137095799815,d,1,0.9597733340015111,,001,dulce2,2022-11-05_14h04.41.851,StroopTask,2022.2.4,60.22608873829184,
verde,yellow,0.0,d,0,11,11,5,,,33.32479174999753,33.32479174999753,d,1,1.958459125002264,,001,dulce2,2022-11-05_14h04.41.851,StroopTask,2022.2.4,60.22608873829184,
amarillo,yellow,1.0,d,0,12,12,2,,,35.80830783299825,35.80830783299825,d,1,0.7830360830048448,,001,dulce2,2022-11-05_14h04.41.851,StroopTask,2022.2.4,60.22608873829184,
XXX,blue,2.0,f,0,13,13,11,,,37.10889162500098,37.10889162500098,f,1,0.8234610420004174,,001,dulce2,2022-11-05_14h04.41.851,StroopTask,2022.2.4,60.22608873829184,
XXX,red,2.0,a,0,14,14,8,,,38.45827250000002,38.45827250000002,a,1,0.7373703750017739,,001,dulce2,2022-11-05_14h04.41.851,StroopTask,2022.2.4,60.22608873829184,
XXXXX,yellow,2.0,d,0,15,15,18,,,39.72510616699947,39.72510616699947,d,1,0.6318738330010092,,001,dulce2,2022-11-05_14h04.41.851,StroopTask,2022.2.4,60.22608873829184,
XXXX,red,2.0,a,0,16,16,12,,,40.87555549999888,40.87555549999888,a,1,0.6537610420018609,,001,dulce2,2022-11-05_14h04.41.851,StroopTask,2022.2.4,60.22608873829184,
azul,blue,1.0,f,0,17,17,3,,,42.058666458000516,42.058666458000516,f,1,0.9462358340024366,,001,dulce2,2022-11-05_14h04.41.851,StroopTask,2022.2.4,60.22608873829184,
verde,green,1.0,s,0,18,18,1,,,43.52537358299742,43.52537358299742,s,1,0.8111134589998983,,001,dulce2,2022-11-05_14h04.41.851,StroopTask,2022.2.4,60.22608873829184,
XXXX,green,2.0,s,0,19,19,13,,,44.8586035829976,44.8586035829976,s,1,1.416969333000452,,001,dulce2,2022-11-05_14h04.41.851,StroopTask,2022.2.4,60.22608873829184,
XXX,green,2.0,s,0,20,20,9,,,46.79226858299808,46.79226858299808,s,1,1.2585207920019457,,001,dulce2,2022-11-05_14h04.41.851,StroopTask,2022.2.4,60.22608873829184,
rojo,green,0.0,s,0,21,21,4,,,48.575611374999426,48.575611374999426,s,1,1.4567446670007484,,001,dulce2,2022-11-05_14h04.41.851,StroopTask,2022.2.4,60.22608873829184,
XXXXX,red,2.0,a,0,22,22,16,,,50.55910324999786,50.55910324999786,a,1,0.7703433340029733,,001,dulce2,2022-11-05_14h04.41.851,StroopTask,2022.2.4,60.22608873829184,
XXXXXX,green,2.0,s,0,23,23,21,,,51.85878766699898,51.85878766699898,s,1,0.981278208000731,,001,dulce2,2022-11-05_14h04.41.851,StroopTask,2022.2.4,60.22608873829184,
azul,blue,1.0,f,1,0,24,3,,,53.3588032919979,53.3588032919979,f,1,0.6819663750029576,,001,dulce2,2022-11-05_14h04.41.851,StroopTask,2022.2.4,60.22608873829184,
rojo,green,0.0,s,1,1,25,4,,,54.558774207998795,54.558774207998795,s,1,1.32369487500182,,001,dulce2,2022-11-05_14h04.41.851,StroopTask,2022.2.4,60.22608873829184,
amarillo,yellow,1.0,d,1,2,26,2,,,56.40881154199815,56.40881154199815,d,1,1.058695625004475,,001,dulce2,2022-11-05_14h04.41.851,StroopTask,2022.2.4,60.22608873829184,
XXXXXX,blue,2.0,f,1,3,27,23,,,57.99218033299985,57.99218033299985,f,1,1.0389123750028375,,001,dulce2,2022-11-05_14h04.41.851,StroopTask,2022.2.4,60.22608873829184,
verde,green,1.0,s,1,4,28,1,,,59.559142707999854,59.559142707999854,s,1,1.770587876002537,,001,dulce2,2022-11-05_14h04.41.851,StroopTask,2022.2.4,60.22608873829184,
