S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,CorrAns3,CorrAns4,CorrAns5,CorrAns6,CorrAns7,CorrAns8,CorrAns9,CorrAns10,CorrAns11,CorrAns12,CorrAns13,CorrAns14,CorrAns15,CorrAns16,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,Seq4_tr.started,recall_resp,key_resp_4.keys,key_resp_4.corr,key_resp_4.rt,text_go.started,key_resp_5.started,DS,key_resp2_2.keys,key_resp2_2.corr,key_resp2_2.rt,score,Forward WM score,B_DS,key_resp2_2B.keys,key_resp2_2B.corr,key_resp2_2B.rt,Backward WM score,participant,session,date,expName,psychopyVersion,frameRate,
8,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,"['8', '1', '6']",None,None,None,None,None,None,None,None,None,None,None,None,None,,,,,0,0,0,0,,,,,94.21291491598822,816,"['1', '2', '3', '4']",0,"[1.166620750213042, 1.5199985411018133, 1.8684447910636663, 2.21691916603595, 3.151377916103229]",98.8667839160189,98.8667839160189,3,"['8', '1', '6']",0,"[2.8315103331115097, 3.4130134580191225, 3.7540042500477284, 4.601058708038181]",1,,,,,,,SuryGlez,001,2022-10-27_11h10.01.881,DS_Adapt1L,2022.2.4,None,
4,7,2,9,0,0,0,0,0,0,0,0,0,0,0,0,"['4', '7', '2']","['4', '7', '2', '9']",None,None,None,None,None,None,None,None,None,None,None,None,,,,,0,1,1,1,,,,,,4729,,,,,,4,"['4', '7', '2', '9']",0,"[1.465743208071217, 1.896390249952674, 2.4080370829906315, 2.8884362501557916, 3.910772708011791]",1,,,,,,,SuryGlez,001,2022-10-27_11h10.01.881,DS_Adapt1L,2022.2.4,None,
6,9,1,7,2,0,0,0,0,0,0,0,0,0,0,0,"['6', '9', '1']","['6', '9', '1', '7']","['6', '9', '1', '7', '2']",None,None,None,None,None,None,None,None,None,None,None,,,,,0,2,2,2,,,,,,69172,,,,,,5,"['6', '9', '1', '7', '2']",0,"[1.836266417056322, 2.3059264170005918, 3.2017155420035124, 3.487831916892901, 5.163483917014673, 5.636180917033926]",1,,,,,,,SuryGlez,001,2022-10-27_11h10.01.881,DS_Adapt1L,2022.2.4,None,
7,9,4,1,8,2,0,0,0,0,0,0,0,0,0,0,"['7', '9', '4']","['7', '9', '4', '1']","['7', '9', '4', '1', '8']","['7', '9', '4', '1', '8', '2']",None,None,None,None,None,None,None,None,None,None,,,,,0,3,3,3,,,,,,71485,,,,,,6,"['7', '1', '4', '8', '5']",0,"[1.7474762499332428, 2.0393445829395205, 2.6931720410939306, 3.2134183330927044, 6.778682790929452, 7.559693375136703]",0,,,,,,,SuryGlez,001,2022-10-27_11h10.01.881,DS_Adapt1L,2022.2.4,None,
5,2,8,4,7,3,9,0,0,0,0,0,0,0,0,0,"['5', '2', '8']","['5', '2', '8', '4']","['5', '2', '8', '4', '7']","['5', '2', '8', '4', '7', '3']","['5', '2', '8', '4', '7', '3', '9']",None,None,None,None,None,None,None,None,None,,,,,0,4,4,4,,,,,,528473,,,,,,6,"['5', '2', '8', '4', '7', '3']",0,"[2.078435332980007, 2.457141916034743, 2.984487625071779, 3.6555800829082727, 4.160846125101671, 4.5459927909541875, 5.597057665931061]",1,,,,,,,SuryGlez,001,2022-10-27_11h10.01.881,DS_Adapt1L,2022.2.4,None,
2,5,1,7,4,9,3,8,0,0,0,0,0,0,0,0,"['2', '5', '1']","['2', '5', '1', '7']","['2', '5', '1', '7', '4']","['2', '5', '1', '7', '4', '9']","['2', '5', '1', '7', '4', '9', '3']","['2', '5', '1', '7', '4', '9', '3', '8']",None,None,None,None,None,None,None,None,,,,,0,5,5,5,,,,,,2517493,,,,,,7,"['2', '5', '1', '7', '4', '9', '3']",0,"[1.0959942501503974, 1.4654841250739992, 1.96556599996984, 2.290761834010482, 2.7431763340719044, 3.281421917025, 3.6837724591605365, 4.481014917138964]",1,,,,,,,SuryGlez,001,2022-10-27_11h10.01.881,DS_Adapt1L,2022.2.4,None,
6,2,5,8,3,9,4,1,7,0,0,0,0,0,0,0,"['6', '2', '5']","['6', '2', '5', '8']","['6', '2', '5', '8', '3']","['6', '2', '5', '8', '3', '9']","['6', '2', '5', '8', '3', '9', '4']","['6', '2', '5', '8', '3', '9', '4', '1']","['6', '2', '5', '8', '3', '9', '4', '1', '7']",None,None,None,None,None,None,None,,,,,0,6,6,6,,,,,,625983,,,,,,8,"['6', '2', '5', '9', '8', '3']",0,"[0.9985985839739442, 1.4633549170102924, 1.9181110421195626, 2.614087749971077, 3.9115214170888066, 4.3819155839737505, 5.930339459097013]",0,,,,,,,SuryGlez,001,2022-10-27_11h10.01.881,DS_Adapt1L,2022.2.4,None,
1,7,3,8,4,9,5,2,6,9,0,0,0,0,0,0,"['1', '7', '3']","['1', '7', '3', '8']","['1', '7', '3', '8', '4']","['1', '7', '3', '8', '4', '9']","['1', '7', '3', '8', '4', '9', '5']","['1', '7', '3', '8', '4', '9', '5', '2']","['1', '7', '3', '8', '4', '9', '5', '2', '6']","['1', '7', '3', '8', '4', '9', '5', '2', '6', '9']",None,None,None,None,None,None,,,,,0,7,7,7,,,,,,1738497,,,,,,8,"['1', '7', '3', '8', '4', '9', '7']",0,"[7.599983708001673, 7.601128207985312, 7.601305874995887, 7.6014814579393715, 7.601643665926531, 7.6017821659334, 7.601909624878317, 9.588440040824935]",0,,,,,,,SuryGlez,001,2022-10-27_11h10.01.881,DS_Adapt1L,2022.2.4,None,
4,9,6,2,5,8,1,7,3,7,4,0,0,0,0,0,"['4', '9', '6']","['4', '9', '6', '2']","['4', '9', '6', '2', '5']","['4', '9', '6', '2', '5', '8']","['4', '9', '6', '2', '5', '8', '1']","['4', '9', '6', '2', '5', '8', '1', '7']","['4', '9', '6', '2', '5', '8', '1', '7', '3']","['4', '9', '6', '2', '5', '8', '1', '7', '3', '7']","['4', '9', '6', '2', '5', '8', '1', '7', '3', '7', '4']",None,None,None,None,None,,,,,0,8,8,8,,,,,,486258,,,,,,7,"['4', '8', '6', '2', '5', '8']",0,"[1.9857992918696254, 2.5262124168220907, 4.806574249872938, 5.255601166980341, 5.9904113749507815, 7.207537584006786, 8.157087416853756]",0,,,,,,,SuryGlez,001,2022-10-27_11h10.01.881,DS_Adapt1L,2022.2.4,None,
8,4,1,7,3,6,2,5,9,1,6,3,0,0,0,0,"['8', '4', '1']","['8', '4', '1', '7']","['8', '4', '1', '7', '3']","['8', '4', '1', '7', '3', '6']","['8', '4', '1', '7', '3', '6', '2']","['8', '4', '1', '7', '3', '6', '2', '5']","['8', '4', '1', '7', '3', '6', '2', '5', '9']","['8', '4', '1', '7', '3', '6', '2', '5', '9', '1']","['8', '4', '1', '7', '3', '6', '2', '5', '9', '1', '6']","['8', '4', '1', '7', '3', '6', '2', '5', '9', '1', '6', '3']",None,None,None,None,,,,,0,9,9,9,,,,,,841736,,,,,,7,"['8', '4', '1', '7', '3', '6']",0,"[1.814179957844317, 3.3094362078700215, 3.7493774578906596, 4.031180541031063, 4.4704722908791155, 4.780463665956631, 5.919609332922846]",0,,,,,,,SuryGlez,001,2022-10-27_11h10.01.881,DS_Adapt1L,2022.2.4,None,
