word,colour,congruent,corrAns,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instruText.started,key_resp_2.started,target.started,response.started,response.keys,response.corr,response.rt,text.started,session,participant,date,expName,psychopyVersion,frameRate,
azul,blue,0.0,f,0,0,0,7,14.097157665994018,14.097157665994018,41.75217270804569,41.75217270804569,f,1,1.56963412463665,,001,Andrea,2022-10-27_14h14.52.461,StroopTask,2022.2.4,None,
XXXX,blue,2.0,f,0,1,1,15,,,43.835591041017324,43.835591041017324,f,1,0.8538549998775125,,001,Andrea,2022-10-27_14h14.52.461,StroopTask,2022.2.4,None,
rojo,green,0.0,s,0,2,2,4,,,45.20659720804542,45.20659720804542,s,1,0.8104498339816928,,001,Andrea,2022-10-27_14h14.52.461,StroopTask,2022.2.4,None,
XXXXX,yellow,2.0,d,0,3,3,18,,,46.53987345797941,46.53987345797941,d,1,0.8454554169438779,,001,Andrea,2022-10-27_14h14.52.461,StroopTask,2022.2.4,None,
XXXX,red,2.0,a,0,4,4,12,,,47.88951704115607,47.88951704115607,a,1,0.6567106668371707,,001,Andrea,2022-10-27_14h14.52.461,StroopTask,2022.2.4,None,
XXXXXX,green,2.0,s,0,5,5,21,,,49.07299191597849,49.07299191597849,s,1,0.79079774976708,,001,Andrea,2022-10-27_14h14.52.461,StroopTask,2022.2.4,None,
XXXX,yellow,2.0,d,0,6,6,14,,,50.38537949998863,50.38537949998863,d,1,0.7781740827485919,,001,Andrea,2022-10-27_14h14.52.461,StroopTask,2022.2.4,None,
verde,green,1.0,s,0,7,7,1,,,51.6897281659767,51.6897281659767,s,1,0.8877662089653313,,001,Andrea,2022-10-27_14h14.52.461,StroopTask,2022.2.4,None,
XXX,blue,2.0,f,0,8,8,11,,,53.10635408316739,53.10635408316739,f,1,0.7860644997563213,,001,Andrea,2022-10-27_14h14.52.461,StroopTask,2022.2.4,None,
XXXXX,red,2.0,a,0,9,9,16,,,54.41855241614394,54.41855241614394,a,1,0.7177198750432581,,001,Andrea,2022-10-27_14h14.52.461,StroopTask,2022.2.4,None,
XXX,yellow,2.0,d,0,10,10,10,,,55.655820165993646,55.655820165993646,d,1,0.7810212497133762,,001,Andrea,2022-10-27_14h14.52.461,StroopTask,2022.2.4,None,
amarillo,red,0.0,a,0,11,11,6,,,56.951648875139654,56.951648875139654,a,1,0.9957995009608567,,001,Andrea,2022-10-27_14h14.52.461,StroopTask,2022.2.4,None,
XXXXXX,blue,2.0,f,0,12,12,23,,,58.456001250073314,58.456001250073314,f,1,0.8729019167367369,,001,Andrea,2022-10-27_14h14.52.461,StroopTask,2022.2.4,None,
XXXX,green,2.0,s,0,13,13,13,,,59.85568558308296,59.85568558308296,s,1,0.7738281667698175,,001,Andrea,2022-10-27_14h14.52.461,StroopTask,2022.2.4,None,
azul,blue,1.0,f,0,14,14,3,,,61.138720541028306,61.138720541028306,f,1,0.8238659168127924,,001,Andrea,2022-10-27_14h14.52.461,StroopTask,2022.2.4,None,
XXX,red,2.0,a,0,15,15,8,,,62.47211250010878,62.47211250010878,a,1,0.7153231669217348,,001,Andrea,2022-10-27_14h14.52.461,StroopTask,2022.2.4,None,
rojo,red,1.0,a,0,16,16,0,,,63.70132800005376,63.70132800005376,a,1,0.6468521668575704,,001,Andrea,2022-10-27_14h14.52.461,StroopTask,2022.2.4,None,
XXXXXX,red,2.0,a,0,17,17,20,,,64.87227066606283,64.87227066606283,a,1,0.5677274588961154,,001,Andrea,2022-10-27_14h14.52.461,StroopTask,2022.2.4,None,
XXXXX,green,2.0,s,0,18,18,17,,,65.95561533304863,65.95561533304863,s,1,0.9651722917333245,,001,Andrea,2022-10-27_14h14.52.461,StroopTask,2022.2.4,None,
XXXXX,blue,2.0,f,0,19,19,19,,,67.45132920797914,67.45132920797914,f,1,0.7016306668519974,,001,Andrea,2022-10-27_14h14.52.461,StroopTask,2022.2.4,None,
XXXXXX,yellow,2.0,d,0,20,20,22,,,68.67177937505767,68.67177937505767,d,1,0.9436096248682588,,001,Andrea,2022-10-27_14h14.52.461,StroopTask,2022.2.4,None,
XXX,green,2.0,s,0,21,21,9,,,70.13852133299224,70.13852133299224,s,1,0.8443982088938355,,001,Andrea,2022-10-27_14h14.52.461,StroopTask,2022.2.4,None,
verde,yellow,0.0,d,0,22,22,5,,,71.48886829102412,71.48886829102412,d,1,0.8075440838001668,,001,Andrea,2022-10-27_14h14.52.461,StroopTask,2022.2.4,None,
amarillo,yellow,1.0,d,0,23,23,2,,,72.82154245814309,72.82154245814309,d,1,0.5319591257721186,,001,Andrea,2022-10-27_14h14.52.461,StroopTask,2022.2.4,None,
verde,yellow,0.0,d,1,0,24,5,,,73.86761566600762,73.86761566600762,d,1,0.47296587470918894,,001,Andrea,2022-10-27_14h14.52.461,StroopTask,2022.2.4,None,
XXXXXX,yellow,2.0,d,1,1,25,22,,,74.86769941612147,74.86769941612147,d,1,0.6008115417789668,,001,Andrea,2022-10-27_14h14.52.461,StroopTask,2022.2.4,None,
