word,colour,congruent,corrAns,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instruText.started,key_resp_2.started,target.started,response.started,response.keys,response.corr,response.rt,text.started,session,participant,date,expName,psychopyVersion,frameRate,
XXX,red,2.0,a,0,0,0,8,13.853715708944947,13.853715708944947,37.98210437502712,37.98210437502712,a,1,1.0481397081166506,,001,SuryGlez,2022-10-27_11h08.00.944,StroopTask,2022.2.4,None,
XXXXXX,yellow,2.0,d,0,1,1,22,,,39.55278187501244,39.55278187501244,d,1,0.7671127491630614,,001,SuryGlez,2022-10-27_11h08.00.944,StroopTask,2022.2.4,None,
rojo,green,0.0,s,0,2,2,4,,,40.8486993748229,40.8486993748229,s,1,0.8068605412263423,,001,SuryGlez,2022-10-27_11h08.00.944,StroopTask,2022.2.4,None,
XXXXX,green,2.0,s,0,3,3,17,,,42.182553249876946,42.182553249876946,d,0,0.7096914160065353,,001,SuryGlez,2022-10-27_11h08.00.944,StroopTask,2022.2.4,None,
XXXXXX,blue,2.0,f,0,4,4,23,,,43.40328800003044,43.40328800003044,f,1,0.831153207225725,,001,SuryGlez,2022-10-27_11h08.00.944,StroopTask,2022.2.4,None,
amarillo,yellow,1.0,d,0,5,5,2,,,44.751947458833456,44.751947458833456,d,1,0.7909884580876678,,001,SuryGlez,2022-10-27_11h08.00.944,StroopTask,2022.2.4,None,
XXXX,red,2.0,a,0,6,6,12,,,46.06939837499522,46.06939837499522,a,1,0.6371904991101474,,001,SuryGlez,2022-10-27_11h08.00.944,StroopTask,2022.2.4,None,
XXXXXX,green,2.0,s,0,7,7,21,,,47.219422791851684,47.219422791851684,s,1,1.0379037912935019,,001,SuryGlez,2022-10-27_11h08.00.944,StroopTask,2022.2.4,None,
XXX,yellow,2.0,d,0,8,8,10,,,48.78166999993846,48.78166999993846,d,1,0.46989116608165205,,001,SuryGlez,2022-10-27_11h08.00.944,StroopTask,2022.2.4,None,
XXX,green,2.0,s,0,9,9,9,,,49.7816390839871,49.7816390839871,s,1,0.6119880832266062,,001,SuryGlez,2022-10-27_11h08.00.944,StroopTask,2022.2.4,None,
azul,blue,0.0,f,0,10,10,7,,,50.91479037492536,50.91479037492536,a,0,0.7806515409611166,,001,SuryGlez,2022-10-27_11h08.00.944,StroopTask,2022.2.4,None,
XXX,blue,2.0,f,0,11,11,11,,,52.20247312495485,52.20247312495485,f,1,0.5873542081099004,,001,SuryGlez,2022-10-27_11h08.00.944,StroopTask,2022.2.4,None,
